"epic_id","best_period_days","stage_f_label","stage_h_label","final_candidate_status","contamination_risk","known_planet_catalog_match_count","known_planet_candidate_match_count","known_eb_or_variable_match_count","period_support_count","folded_depth_consistency","duration_consistency","primary_depth","radius_ratio_sqrt_depth","secondary_to_primary_depth_ratio","odd_even_depth_delta_explicit","oot_variability_to_depth","alias_risk","primary_depth_snr","recommended_next_action","contamination_notes","phase_0_folded_path","phase_05_secondary_check_path","alias_period_comparison_path","odd_even_zoom_path","validation_summary_json_path","visual_label","visual_notes","reviewer","reviewed_at"
"EPIC_211551640","10.563287809098483","stage_f_planet_like","new_candidate_needs_external_check","new_candidate_needs_external_check","low","0","0","0","21","0.9359130232369672","1.0","0.0066345877500112","0.0814529787669622","0.0","0.3678919987893941","1.128867637671828","low","525.8469996140429","external archive/name-resolution check required before claiming new discovery","No Campaign 5 target within 60 arcsec in local target list.","plots\k2_batch\stage_f_next10\EPIC_211551640\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211551640\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211551640\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211551640\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211551640\validation_summary.json","visual_needs_review","Metrics strong but odd/even asymmetry elevated; requires manual re-check.","OC","2026-04-29 19:48:40 +01:00"
"EPIC_211555255","9.929781530910986","stage_f_planet_like","new_candidate_needs_external_check","new_candidate_needs_external_check","low","0","0","0","20","0.8711994527517155","0.5555555555555556","0.0006096581632937","0.0246912568188356","0.1574174509834585","0.1702049170180183","1.8896751893774928","low","28.196406173295912","external archive/name-resolution check required before claiming new discovery","No Campaign 5 target within 60 arcsec in local target list.","plots\k2_batch\stage_f_next10\EPIC_211555255\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211555255\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211555255\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211555255\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211555255\validation_summary.json","visual_possible_candidate","Moderate signal; some consistency present but less convincing than leaders.","OC","2026-04-29 19:48:40 +01:00"
"EPIC_211525754","13.198848621046864","stage_f_planet_like","new_candidate_needs_external_check","new_candidate_needs_external_check","low","0","0","0","14","0.9184157767190644","0.9583333333333334","0.001334460461631","0.0365302677465009","0.0","0.1776629394856127","0.6593346410125313","low","65.85013986042081","external archive/name-resolution check required before claiming new discovery","No Campaign 5 target within 60 arcsec in local target list.","plots\k2_batch\stage_f_next10\EPIC_211525754\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211525754\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211525754\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211525754\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211525754\validation_summary.json","visual_unreviewed_needs_review","Unreviewed / needs visual review.","",""
"EPIC_211842439","15.93678195803659","stage_f_planet_like","new_candidate_needs_external_check","new_candidate_needs_external_check","low","0","0","0","14","0.9125872976904168","1.0","0.0007679253799241","0.0277114665783696","0.0","0.0415707224289881","0.0","low","66.69039912441387","external archive/name-resolution check required before claiming new discovery","No Campaign 5 target within 60 arcsec in local target list.","plots\k2_batch\stage_f_next10\EPIC_211842439\phase_0_folded.png","plots\k2_batch\stage_f_next10\EPIC_211842439\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10\EPIC_211842439\alias_period_comparison.png","plots\k2_batch\stage_f_next10\EPIC_211842439\odd_even_zoom.png","plots\k2_batch\stage_f_next10\EPIC_211842439\validation_summary.json","visual_unreviewed_needs_review","Unreviewed / needs visual review.","",""
