epic_id,promote_tier,n_events_long_good,n_events_ge_10_cadences,max_shape_score,spike_fraction_2cadence,depth_ratio,stage_r_reason
EPIC_211409604,Tier_A,8,14,0.8856846318009106,0.1333333333333333,36.43377180860857,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.133
EPIC_211910082,Tier_A,8,12,0.8745708324168595,0.1578947368421052,30.683332171095635,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.158
EPIC_211434347,Tier_A,8,22,0.8416704063048437,0.2,39.37458387888516,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.200
EPIC_212001099,Tier_A,8,19,0.8263117277737821,0.1071428571428571,13.907826780338732,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.107
EPIC_211926132,Tier_A,8,16,0.8209315443933785,0.0416666666666666,25.75734719789685,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.042
EPIC_211972767,Tier_A,8,23,0.8169500641238717,0.0909090909090909,7.738778295429903,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.091
EPIC_211947686,Tier_A,8,12,0.8156596223735075,0.2,33.84677418529661,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.200
EPIC_211306307,Tier_A,7,13,0.8840099233311842,0.2666666666666666,64.91501476538352,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.267
EPIC_211746706,Tier_A,7,15,0.8276325603836964,0.25,20.151037204623343,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250
EPIC_211739276,Tier_A,7,12,0.8202554876373518,0.3783783783783784,22.424712353007585,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.378
EPIC_211525754,Tier_A,7,14,0.8065152288077873,0.217391304347826,9.37481331028957,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.217
EPIC_211537297,Tier_A,7,9,0.7983135201489309,0.2857142857142857,24.50984846073308,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.286
EPIC_211631955,Tier_A,6,17,0.8495236454995886,0.0689655172413793,18.032928414960608,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=18; spike_fraction_2cadence=0.069
EPIC_212003686,Tier_A,6,18,0.8425087591919436,0.0416666666666666,9.6521233653017,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.042
EPIC_211770415,Tier_A,6,14,0.8017684642492038,0.217391304347826,24.060001579221566,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.217
EPIC_211396246,Tier_A,6,15,0.8013982456171866,0.2083333333333333,21.73483396404102,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.208
EPIC_211936906,Tier_A,6,14,0.7820585938344654,0.2,37.58595517742893,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.200
EPIC_211748059,Tier_A,5,17,0.8169694594065053,0.1666666666666666,9.142281919119538,promote: 5 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.167
EPIC_211552564,Tier_A,5,14,0.8044802540322845,0.2592592592592592,25.17457858889244,promote: 5 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.259
EPIC_211732801,Tier_A,4,11,0.8527919232816045,0.2666666666666666,39.29971634484868,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.267
EPIC_211555255,Tier_A,4,23,0.833757393976066,0.0789473684210526,19.87980101116924,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.079
EPIC_211972200,Tier_A,4,19,0.8331570239017195,0.04,13.945690757095244,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.040
EPIC_211833851,Tier_A,4,11,0.7992319016769379,0.1851851851851851,22.82286307550474,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.185
EPIC_211554121,Tier_A,4,13,0.7901124721058373,0.25,12.841198712687312,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250
EPIC_211988531,Tier_A,4,10,0.7812440376860006,0.2272727272727272,30.9298795450156,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.227
EPIC_212007527,Tier_B,3,5,0.8446034255727066,0.2878787878787879,51.80808007510475,promote: 3 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=14; spike_fraction_2cadence=0.288
EPIC_211795325,Tier_B,3,14,0.8421145555727513,0.1666666666666666,15.41442153141963,promote: 3 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.167
EPIC_211582554,Tier_B,3,11,0.8190931492657885,0.1794871794871795,21.741378840091933,promote: 3 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.179
EPIC_211945111,Tier_B,3,9,0.765203537425946,0.2941176470588235,28.96526324736727,promote: 3 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.294
EPIC_211396167,Tier_B,3,14,0.7436412020082785,0.2962962962962963,16.32894915890859,promote: 3 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.296
EPIC_211968088,Tier_B,2,7,0.8258115219948668,0.3157894736842105,24.37512537959085,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.316
EPIC_211924358,Tier_B,2,12,0.8189607823211108,0.2631578947368421,13.663510473780924,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.263
EPIC_211980250,Tier_B,2,14,0.7928053926538803,0.0,63.07972491138453,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.000
EPIC_211907494,Tier_B,2,9,0.792063818659004,0.2142857142857142,24.83142897238756,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.214
EPIC_211836788,Tier_B,2,7,0.774629428400548,0.3181818181818182,33.85757003623459,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.318
EPIC_211726466,Tier_B,2,14,0.7614309575788012,0.3448275862068966,56.955504262507176,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=20; spike_fraction_2cadence=0.345
EPIC_211387425,Tier_B,2,16,0.7614290005177995,0.25,10.724946108489968,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.250
EPIC_211733267,Tier_B,2,9,0.7470622051891264,0.0588235294117647,18.857999564038703,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.059
EPIC_211810283,Tier_B,2,10,0.745743078298851,0.3333333333333333,40.27036863275606,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.333
EPIC_211942703,Tier_B,2,6,0.7442639182241727,0.4,14.928679546523089,promote: 2 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.400
