star_id,pl_orbper,pl_tranmid,pl_trandurh,mission
EPIC 248463350,6.393025,2457909.0449,3.7,k2
EPIC 248463350,18.787839,2457911.6845,4.7,k2
EPIC 248518307,3.865053,2457908.6234,1.6,k2
EPIC 248527514,6.293099,2457906.9531,1.9,k2
EPIC 248621597,17.27474,2457920.4286,5.2,k2
EPIC 248758353,33.589979,2457908.9613,6.385,k2
EPIC 248861279,13.115365,2457917.8369,2.7,k2
EPIC 248874928,3.435471,2457908.9959,2.11,k2
EPIC 249223471,22.549406,2458010.3895,4.8,k2
EPIC 249403651,4.941907,2457993.5101,2.9,k2
EPIC 249403651,9.22453,2457997.6545,3.7,k2
EPIC 249816490,20.978959,2457991.5363,4.4,k2
EPIC 249924395,1.908084,2457990.2841,2.5,k2
EPIC 211732116,4.521953,2458099.6869,3.0,k2
EPIC 211732116,16.43445,2458109.2376,3.6,k2
EPIC 212222383,5.776475,2458096.7426,2.1,k2
EPIC 211414619,4.0179694,2458100.07116,1.11956162231804,k2
EPIC 246191231,13.102,2458371.8384,2.77,k2
EPIC 245978988,6.535,2458373.0321,2.07,k2
EPIC 251319382,3.665912,2458098.635282,1.63,k2
EPIC 211502222,9.398977,2458100.920192,3.92,k2
EPIC 212440430,4.163873,2457219.277628,2.75,k2
