star_id,score_raw,p_highclass
KIC 7132542,0.905501,0
EPIC 249391469,0.966851,0
TIC 79660831,0.810216,0
EPIC 204763194,0.922916,0
TIC 342276668,0.884494,0
EPIC 249559552,0.944133,0
TIC 318753380,0.948077,0
TIC 68035558,0.965078,0
KIC 10015516,0.916007,0
K2-369,0.897679,0
EPIC 201299088,0.911731,0
KIC 8868907,0.864218,0
TIC 235448190,0.808321,0
KIC 8044608,0.873055,0
KIC 9656397,0.905098,0
EPIC 216166748,0.823514,0
TIC 58461209,0.956691,0
KIC 8760135,0.898846,0
TIC 306338882,0.834651,0
TIC 360822008,0.895302,0
EPIC 211906259,0.721626,0
EPIC 212570977,0.851793,0
K2-287,0.894279,0
TIC 22560356,1.009535,0
EPIC 204888276,0.750258,0
TIC 458027465,1.001348,0
EPIC 249373875,0.967901,0
KIC 6778289,0.914952,0
EPIC 250001426,0.970226,0
TIC 366698929,0.988128,0
KIC 8553907,0.969696,0
EPIC 205242733,1.049360,0
EPIC 249822095,1.008772,0
KIC 8690001,0.894985,0
KIC 8257407,0.887610,0
EPIC 215381481,0.858152,0
TIC 437774844,0.679334,0
TIC 181208298,0.992570,0
KIC 8572936,0.907804,0
EPIC 214234110,0.884969,0
TIC 325670253,0.842745,0
TIC 266609407,0.995568,0
TIC 377024332,0.897635,0
TIC 392995938,0.793203,0
TIC 144037593,0.650357,0
TIC 446616059,0.952171,0
KIC 8711548,0.888731,0
KIC 9474969,0.908752,0
TIC 129458276,0.782278,0
EPIC 203616858,0.845406,0
TIC 355008856,0.962955,0
KIC 4773155,0.898043,0
TIC 168871868,0.665711,0
KIC 6449358,0.900131,0
EPIC 204882444,0.946762,0
TIC 3027681,0.676888,0
TIC 299176311,0.817244,0
KIC 8668810,0.840958,0
KIC 5553624,0.899630,0
KIC 6131659,0.934540,0
KIC 11923819,0.926618,0
KIC 4736208,0.869376,0
KIC 7846730,0.902306,0
TIC 138727432,0.787803,0
TIC 40083958,0.772447,0
KIC 9028474,0.929910,0
KIC 7456521,0.707644,0
KIC 5024292,0.717534,0
KIC 8378922,0.867453,0
EPIC 212443973,0.854520,0
TIC 100264497,0.937667,0
TIC 305739565,0.701592,0
KIC 8868364,0.839522,0
TIC 259708416,0.870883,0
TIC 159510109,0.842887,0
TIC 375199523,0.677338,0
EPIC 203518244,0.854712,0
TIC 347442932,0.805725,0
EPIC 212329106,0.921282,0
TIC 8853478,0.932139,0
EPIC 205969319,0.801506,0
KIC 3439031,0.972361,0
KIC 11913071,0.952144,0
EPIC 206031623,0.799373,0
EPIC 201164625,0.991337,0
KIC 10920813,0.915889,0
TIC 104195270,0.756905,0
TIC 77102895,0.709546,0
TIC 298291597,0.661303,0
KIC 3970117,0.800970,0
KIC 3098194,0.907821,0
TIC 200775844,0.945544,0
EPIC 210744674,0.819630,0
TIC 73310180,0.794858,0
TIC 348684814,0.797727,0
KIC 9641031,0.937970,0
EPIC 203139512,0.956487,0
TIC 306337838,0.764288,0
KIC 6891512,0.943389,0
TIC 424112727,0.675567,0
EPIC 212362217,0.931592,0
TIC 61098812,0.658794,0
KIC 10156064,0.925175,0
TIC 26390980,0.882679,0
KIC 4073089,0.909747,0
TIC 403288821,0.637843,0
KIC 2708156,0.922347,0
KIC 6525209,0.846347,0
KIC 10031808,0.959886,0
EPIC 203042994,0.962179,0
KIC 9851142,0.912807,0
KIC 11922782,0.930988,0
KIC 10583181,0.937166,0
EPIC 206417197,0.831246,0
KIC 10420279,0.856583,0
TIC 406684949,0.785466,0
KIC 2987433,0.768258,0
KIC 10274244,0.899912,0
EPIC 211829982,0.658884,0
TIC 192372961,0.859828,0
HIP 78977,0.836232,0
K2-196,0.908538,0
KIC 6545018,0.774081,0
KIC 3240159,0.884368,0
HIP 80474,0.907697,0
TIC 69679391,0.652243,0
KIC 3836439,0.913291,0
KIC 6525196,0.914134,0
KIC 10345862,0.869754,0
TIC 74484886,0.733191,0
EPIC 206169157,0.808153,0
TIC 345009464,0.664891,0
HATS-11,0.917482,0
TIC 287959034,0.894853,0
EPIC 214522613,0.813869,0
KIC 8098300,0.791954,0
TIC 452808876,0.964458,0
KIC 8552540,0.911676,0
TIC 99025225,0.703463,0
TIC 238239232,0.953149,0
TIC 23725901,0.670973,0
K2-38,0.884306,0
KIC 11924426,0.861022,0
EPIC 212645891,0.907590,0
KIC 5023948,0.652672,0
TIC 35377903,0.875557,0
EPIC 211859295,0.865830,0
EPIC 202092480,0.783326,0
TIC 393251073,0.651024,0
KIC 10191056,0.917272,0
KIC 3120320,0.919269,0
KIC 5444392,0.909788,0
KIC 3230227,0.918490,0
TIC 119131709,0.945598,0
EPIC 246178445,0.768661,0
KIC 5113053,0.759271,0
EPIC 218621322,0.887635,0
TIC 387844266,0.902038,0
EPIC 212315941,0.901870,0
KIC 6449552,0.849778,0
TIC 89659632,0.719051,0
K2-286,0.872398,0
KIC 10292238,0.816338,0
EPIC 201456770,0.795666,0
TIC 72097808,0.760898,0
KIC 10228942,0.803249,0
TIC 9376973,0.740740,0
KIC 9637299,0.888322,0
KIC 10686876,0.882373,0
KIC 9652632,0.874061,0
KIC 9821078,0.894383,0
KIC 8509781,0.652005,0
TIC 161738745,0.795741,0
TIC 131195882,0.901932,0
EPIC 210954046,0.821378,0
TIC 397053253,0.913239,0
KIC 8560861,0.882555,0
KIC 8314801,0.836385,0
KIC 7677005,0.816759,0
TIC 293931909,0.665304,0
TIC 358072664,0.681677,0
TIC 211352962,0.887337,0
KIC 4737302,0.863874,0
KIC 7436177,0.781468,0
EPIC 216111905,0.887786,0
EPIC 249865296,0.884671,0
EPIC 205146011,0.760220,0
TIC 138762614,0.772678,0
EPIC 213748480,0.820910,0
EPIC 249649721,0.926942,0
