epic_id,stage_g_final_recommendation,stage_f_label,stage_h_label,final_candidate_status,status_reason,contamination_risk,contamination_notes,known_planet_catalog_match_count,known_planet_candidate_match_count,known_eb_or_variable_match_count,stellar_radius_available,planet_radius_earth_estimate,recommended_next_action
EPIC_211534076,top_followup_candidate,stage_f_planet_like,known_unconfirmed_candidate,recovered_known_candidate,"reclassified as known unconfirmed candidate; recovered by pipeline, not a novel discovery claim",low,No Campaign 5 target within 60 arcsec in local target list.,0,0,0,False,,literature follow-up / monitor for confirmation
EPIC_211889692,followup_candidate_with_variability_caution,stage_f_planet_like,new_candidate_needs_external_check,new_candidate_needs_external_check,not found in local known planet/ephemeris/EB catalogs; external archive check still required,high,Nearby similar-brightness C5 target EPIC_211890226 at 27.7 arcsec; delta_mag=0.239.,0,0,0,False,,external archive/name-resolution check required before claiming new discovery; prioritize high-resolution image/neighbor contamination review
