series,robust_sigma,p95_minus_p05,power_half_period,power_saved_period,power_double_period,power_k2_thruster_0p245d,strongest_period_days,strongest_power,top_periods,raw_corrected_correlation,corrected_removed_correlation,neighbor_trough_1_phase,neighbor_trough_1_depth,neighbor_trough_2_phase,neighbor_trough_2_depth,neighbor_trough_phase_separation
raw,0.0029730989792512343,0.009324298183267365,0.2776827386238944,0.28000675321122037,0.0009662339410439238,0.0002869989497393602,5.167934486947188,0.28865898701979137,5.167934:0.288659|2.617198:0.278387|5.289961:0.239277|5.051411:0.193971|5.41789:0.122243,0.9984502802099192,-0.09572788284331091,-0.0668759580159417,0.03363232696285723,0.4153002588033985,0.030951292983605105,0.4821762168193402
corrected,0.0030061159879811792,0.009467266361111348,0.2773653197208043,0.276693680193418,0.0010112632792861885,0.00020054534640722964,5.167934486947188,0.2871840650830638,5.167934:0.287184|2.617198:0.278075|5.289961:0.235531|5.051411:0.197315|5.41789:0.120405,0.9984502802099192,-0.09572788284331091,-0.0668759580159417,0.03363232696285723,0.4153002588033985,0.030951292983605105,0.4821762168193402
removed,0.00024219958067094635,0.0007963553288031777,0.0010137996042116177,0.007942119378605715,0.005419549944981809,0.03078005169406165,2.5143910481954515,0.09772817544559045,2.514391:0.0977282|40:0.0826426|2.720487:0.0684889|38.29085:0.0552572|2.564765:0.0374505,0.9984502802099192,-0.09572788284331091,-0.0668759580159417,0.03363232696285723,0.4153002588033985,0.030951292983605105,0.4821762168193402
