epic_id,mission,n_points,n_segments,best_seg_score,mean_seg_score,median_seg_score,std_seg_score,status,error,priority
206154641,K2,99579,385,0.4415857493877411,0.2348864823579788,0.2251660823822021,0.0880388915538787,ok,,0.39756630361080175
206103150,K2,99610,386,0.4184699058532715,0.2591150403022766,0.2957416176795959,0.1104308739304542,ok,,0.36325446888804436
201862715,K2,112009,434,0.4163040518760681,0.2680456340312958,0.2719849348068237,0.0673293247818946,ok,,0.38263938948512083
248777106,K2,115599,448,0.4110138118267059,0.3177156746387481,0.3240013122558594,0.0397408343851566,ok,,0.39114339463412756
212300977,K2,15756,58,0.4043929278850555,0.2516868114471435,0.2778830826282501,0.1262886077165603,ok,,0.34124862402677536
228724232,K2,79045,305,0.3958810269832611,0.2864575982093811,0.2891067862510681,0.0657439529895782,ok,,0.363009050488472
212779563,K2,97174,376,0.3896133303642273,0.301817387342453,0.2993281781673431,0.0465066954493522,ok,,0.3663599826395512
212756297,K2,15767,58,0.3804043233394623,0.2611238956451416,0.2680013179779053,0.0666679516434669,ok,,0.3470703475177288
216414930,K2,111656,433,0.3672374784946441,0.2306391149759292,0.2285133302211761,0.062567226588726,ok,,0.3359538652002811
246199087,K2,106314,412,0.3666200935840606,0.2480577230453491,0.2499659806489944,0.0566524155437946,ok,,0.3382938858121633
246441449,K2,106133,411,0.365164577960968,0.2281413376331329,0.2308789640665054,0.0564960613846778,ok,,0.33691654726862913
217671466,K2,111630,433,0.362478643655777,0.2704471349716186,0.270760178565979,0.0386207625269889,ok,,0.34316826239228254
220303276,K2,111759,433,0.3616208732128143,0.2694709300994873,0.2820757329463959,0.0604004301130771,ok,,0.33142065815627575
