epic_id,mission,n_points,n_segments,best_seg_score,mean_seg_score,median_seg_score,std_seg_score,status,error
212006318,K2,3409,10,0.2898775637149811,0.2655186355113983,0.2650372385978699,0.0200535766780376,ok,
212006344,K2,3442,10,0.3535362482070923,0.3227584362030029,0.3278455734252929,0.0186501257121562,ok,
212008766,K2,3432,10,0.336248368024826,0.3067153394222259,0.3213396370410919,0.0312146227806806,ok,
212069861,K2,3399,10,0.4096743762493133,0.2820619344711303,0.3054004907608032,0.0760125368833541,ok,
212088059,K2,3409,10,0.357740968465805,0.295221596956253,0.2899730801582336,0.0496599189937114,ok,
212130773,K2,3435,10,0.3062470555305481,0.2787946760654449,0.2797924280166626,0.0115805519744753,ok,
212132195,K2,3438,10,0.3957973718643188,0.3276207745075226,0.3499616980552673,0.0644227266311645,ok,
212154564,K2,3374,10,0.3071010708808899,0.2195698469877243,0.2138328850269317,0.0563634745776653,ok,
212161956,K2,3441,10,0.3161031603813171,0.2749972939491272,0.2881860136985779,0.0464617311954498,ok,
212164470,K2,3436,10,0.3220233917236328,0.2622489035129547,0.273580253124237,0.0394961237907409,ok,
212357477,K2,3541,10,0.4074655473232269,0.3563186526298523,0.3678416609764099,0.0328829027712345,ok,
212418133,K2,3540,10,0.2695136368274688,0.2594755589962005,0.2583837807178497,0.0068874564021825,ok,
212420823,K2,3516,10,0.3018663227558136,0.2599485218524933,0.2596678733825683,0.0245678182691335,ok,
212440430,K2,3537,10,0.3421749472618103,0.3260110318660736,0.3251621425151825,0.013246533460915,ok,
212460519,K2,3540,10,0.4184261560440063,0.3324791193008423,0.3477932810783386,0.059436485171318,ok,
212480208,K2,3539,10,0.3116369843482971,0.2815886437892914,0.2764507830142975,0.0165751092135906,ok,
212496592,K2,3539,10,0.3305526971817016,0.2966561913490295,0.3061591982841491,0.0269912760704755,ok,
212521166,K2,3524,10,0.3141035735607147,0.2468477934598922,0.2384249716997146,0.0292223244905471,ok,
212543933,K2,3533,10,0.2798541784286499,0.2736194431781769,0.2757607698440552,0.005304092541337,ok,
212554013,K2,3467,10,0.2549716830253601,0.2387045919895172,0.2389674484729766,0.0115832993760705,ok,
212555594,K2,3534,10,0.4311180114746094,0.3547948002815246,0.350265771150589,0.0635050237178802,ok,
212575828,K2,3536,10,0.2681670486927032,0.2315325289964676,0.2220121324062347,0.0254598744213581,ok,
212580872,K2,3529,10,0.3151386082172394,0.2837811410427093,0.2807653844356537,0.0157092045992612,ok,
212672300,K2,3526,10,0.3292044103145599,0.275252491235733,0.2985093891620636,0.0513644479215145,ok,
212735333,K2,3539,10,0.3713264167308807,0.2979278564453125,0.3076303601264953,0.0584668107330799,ok,
212737443,K2,3517,10,0.3138367831707001,0.2837805151939392,0.2943915128707886,0.0216178931295871,ok,
212782836,K2,3503,10,0.3117754161357879,0.2353931367397308,0.2432567179203033,0.0612480416893959,ok,
212803289,K2,3520,10,0.3244372606277466,0.2643492221832275,0.2847229838371277,0.0482584089040756,ok,
212828909,K2,3536,10,0.3706498146057129,0.3239789605140686,0.3112054467201233,0.0270471274852752,ok,
212012119,K2,3436,10,0.4158529043197632,0.3795931339263916,0.405497670173645,0.0493332706391811,ok,
212768333,K2,3543,10,0.4491737782955169,0.424310028553009,0.4212292432785034,0.0158537719398736,ok,
212779596,K2,3536,10,0.3862901926040649,0.3404226303100586,0.3491089344024658,0.0381254367530345,ok,
210512842,K2,3273,9,0.3325810134410858,0.2790410220623016,0.2666411697864532,0.0394171513617038,ok,
211048999,K2,3264,9,0.3781949281692505,0.360416054725647,0.3673992455005646,0.0166464336216449,ok,
212530118,K2,3543,10,0.3520590364933014,0.2930740416049957,0.2857855558395386,0.0277053024619817,ok,
249801827,K2,4027,12,0.4365819096565246,0.3783746063709259,0.4153076708316803,0.0640180557966232,ok,
249622103,K2,4039,12,0.4305061101913452,0.4109602868556976,0.4140955507755279,0.011912977322936,ok,
248545986,K2,3672,11,0.2708908915519714,0.2470014989376068,0.2423150390386581,0.014244326390326,ok,
210897587,K2,3617,11,0.3791180253028869,0.2919419407844543,0.2936111390590668,0.055776085704565,ok,
210818897,K2,3274,9,0.4689982533454895,0.4472564160823822,0.4568166434764862,0.0245462227612733,ok,
248435473,K2,3603,11,0.24388188123703,0.1596123576164245,0.160406157374382,0.0491776913404464,ok,
245950175,K2,3334,10,0.3807904124259949,0.3456467688083648,0.3594274520874023,0.031763419508934,ok,
247589423,K2,3637,11,0.4034717679023742,0.3606396913528442,0.3724507689476013,0.0323386415839195,ok,
246865365,K2,3568,10,0.2571670413017273,0.2029267251491546,0.2066264450550079,0.0341918133199214,ok,
246471491,K2,3312,9,0.3230330944061279,0.2730403542518616,0.2770235538482666,0.0408148802816867,ok,
246078672,K2,3317,9,0.3276526629924774,0.3059392273426056,0.3188939094543457,0.0211040582507848,ok,
228813918,K2,2024,4,0.2909835875034332,0.2661854028701782,0.2606090605258941,0.0147362304851412,ok,
246199087,K2,106314,412,0.3666200935840606,0.2480577230453491,0.2499659806489944,0.0566524155437946,ok,
247267267,K2,3627,11,0.403571218252182,0.3369760811328888,0.3379442095756531,0.0318579375743866,ok,
249624646,K2,3993,12,0.3026118576526642,0.2530647814273834,0.2691988050937652,0.0462360605597496,ok,
246067459,K2,3270,9,0.2602000832557678,0.2188044190406799,0.2101039141416549,0.025084663182497,ok,
246851721,K2,3572,10,0.3016752898693084,0.2610437273979187,0.2710004448890686,0.0319645851850509,ok,
211311380,K2,3411,10,0.3593272864818573,0.2549745142459869,0.2653220891952514,0.0781859308481216,ok,
246151543,K2,3313,9,0.3882578313350677,0.307555228471756,0.3021937310695648,0.0690069198608398,ok,
212628254,K2,3075,9,0.3265838623046875,0.2910471856594085,0.2926722168922424,0.0249182526022195,ok,
249893012,K2,4023,12,0.3777465224266052,0.3393157422542572,0.3456368446350097,0.0282876603305339,ok,
60021410,K2,0,0,,,,,too_short_or_missing,
249631677,K2,4017,12,0.2856566607952118,0.2540125548839569,0.256263256072998,0.0233069043606519,ok,
246393474,K2,3345,10,0.3660211861133575,0.3394211232662201,0.3479141592979431,0.0220365468412637,ok,
247098361,K2,3578,10,0.3197026252746582,0.2503605186939239,0.2638472020626068,0.0553676597774028,ok,
246389858,K2,3350,10,0.3723985254764557,0.3282573819160461,0.3244026899337768,0.0233381818979978,ok,
