batch_order,epic_id,best_period_days,period_support_count,visual_label,summary_json_path,hybrid_v3_rank,strict_rank,hybrid_v3_strict_score,v3_base_score,hybrid_v3_strict_fp_penalty,flux_p_science_like,stage_d_quality_score,stage_d_label,stage_d_reason,events_csv
1,EPIC_211404127,18.613248512338032,18,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch2_input_summaries\EPIC_211404127\EPIC_211404127_summary.json,34,34,0.2832642440509245,0.4332642440509245,0.15,0.626497745513916,0.605960132484216,hold_deeper_eval,"finite period with support=18, but deeper-eval guardrails are incomplete or marginal; reason=validated",plots\k2_batch\epics\EPIC_211404127\events.csv
2,EPIC_211759361,14.608622348492643,9,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch2_input_summaries\EPIC_211759361\EPIC_211759361_summary.json,35,35,0.2797442901404274,0.4297442901404274,0.15,0.7104972004890442,0.4742810798770479,hold_deeper_eval,"finite period with support=9, but deeper-eval guardrails are incomplete or marginal; reason=validated",plots\k2_batch\epics\EPIC_211759361\events.csv
3,EPIC_211598703,16.16143666474818,10,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch2_input_summaries\EPIC_211598703\EPIC_211598703_summary.json,36,36,0.275816648039786,0.425816648039786,0.15,0.7037513256072998,0.4680147363089244,hold_deeper_eval,"finite period with support=10, but deeper-eval guardrails are incomplete or marginal; reason=validated",plots\k2_batch\epics\EPIC_211598703\events.csv
4,EPIC_211746706,17.959520721076842,14,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch2_input_summaries\EPIC_211746706\EPIC_211746706_summary.json,38,38,0.2659068502075109,0.4159068502075109,0.15,0.6493770480155945,0.5044995336082114,hold_deeper_eval,"finite period with support=14, but deeper-eval guardrails are incomplete or marginal; reason=validated",plots\k2_batch\epics\EPIC_211746706\events.csv
5,EPIC_211537297,18.75653827464748,11,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch2_input_summaries\EPIC_211537297\EPIC_211537297_summary.json,39,39,0.2616798477323171,0.4116798477323171,0.15,0.6927534937858582,0.4268644996290671,hold_deeper_eval,"finite period with support=11, but deeper-eval guardrails are incomplete or marginal; reason=validated",plots\k2_batch\epics\EPIC_211537297\events.csv
