epic_id,period_role,period_days,center_phase,event_index,predicted_center_bkjd,event_points,sideband_points,left_sideband_points,right_sideband_points,both_sidebands_available,local_depth,local_depth_snr,sideband_sigma,baseline_slope_per_day,left_right_baseline_offset
EPIC_211839462,half_period,2.609685,0.2379674739418985,0,2307.582560147234,3,15,14,1,False,-0.005095138423556312,-2.9505781878229134,0.0017268271163204676,-0.02090934488754583,
EPIC_211839462,half_period,2.609685,0.2379674739418985,2,2312.801930147234,7,14,13,1,False,-0.01228565148179533,-2.728240860780217,0.0045031403416052876,-0.04015144828210348,
EPIC_211839462,half_period,2.609685,0.2379674739418985,4,2318.021300147234,6,15,13,2,False,-0.012480264697261734,-3.4637176521941697,0.0036031414654586033,-0.03788570184647851,
EPIC_211839462,half_period,2.609685,0.2379674739418985,5,2320.630985147234,3,13,13,0,False,-0.00024771575193885506,-3.92985557651651,6.303431439545025e-05,-0.008263922427455618,
EPIC_211839462,half_period,2.609685,0.2379674739418985,6,2323.240670147234,5,13,13,0,False,5.7397247680016084e-05,0.8050107656295015,7.129997526819737e-05,-0.003841273519229629,
EPIC_211839462,half_period,2.609685,0.2379674739418985,8,2328.460040147234,6,14,12,2,False,-0.010149035504742268,-3.028244222492398,0.003351458719663336,-0.026305873476747666,
EPIC_211839462,half_period,2.609685,0.2379674739418985,10,2333.6794101472337,5,14,13,1,False,-0.011494074168900496,-3.024552307609904,0.0038002563685147414,-0.03434775692491654,
EPIC_211839462,half_period,2.609685,0.2379674739418985,11,2336.289095147234,3,10,10,0,False,9.367744524676688e-05,1.4320574193907813,6.541458741690586e-05,-0.007937344917122318,
EPIC_211839462,half_period,2.609685,0.2379674739418985,12,2338.898780147234,7,14,12,2,False,-0.011954656559614215,-3.312993697695905,0.0036084151225305216,-0.03579916267504683,
EPIC_211839462,half_period,2.609685,0.2379674739418985,14,2344.118150147234,7,15,14,1,False,-0.008280906352333526,-3.276309362888241,0.0025275105111055404,-0.025962832800356005,
EPIC_211839462,half_period,2.609685,0.2379674739418985,16,2349.337520147234,8,16,14,2,False,-0.007813404016791172,-2.7260830596737717,0.0028661650601820607,-0.027039657280811973,
EPIC_211839462,half_period,2.609685,0.2379674739418985,18,2354.556890147234,6,15,14,1,False,-0.011995770825777654,-3.1442436736886625,0.003815153044962588,-0.037812120048280676,
EPIC_211839462,half_period,2.609685,0.2379674739418985,19,2357.1665751472337,5,14,14,0,False,0.0007392187180189828,11.306754722234349,6.537850481229016e-05,-0.010871802463071862,
