epic_id,period_days,period_source,period_status,cluster_center_phase,event_family_count,primary_depth,primary_depth_snr,folded_primary_depth,folded_primary_depth_snr,transit_duration_days,odd_depth_median,even_depth_median,odd_even_depth_ratio,oot_to_depth,secondary_depth_phase_05,secondary_depth_snr,secondary_to_primary_depth_ratio,alias_risk,alias_best_period_days,alias_best_support_count,alias_best_support_ratio,half_period_support_count,double_period_support_count,event_stack_coherence_score,event_stack_coherence,event_timing_rms_phase,event_epoch_coverage,event_depth_mad_fraction,period_role,predicted_event_count,positive_depth_count,positive_depth_fraction,median_local_depth,median_local_depth_snr,depth_robust_sigma,median_sideband_sigma,median_abs_baseline_slope_per_day,median_abs_left_right_offset,both_sidebands_fraction,left_sideband_available_fraction,right_sideband_available_fraction
EPIC_211839462,2.609685,half_period,comparison_candidate,0.2379674739418985,12,0.00275302441960815,5.460237101824855,0.0006581594729758167,1.3372008805033588,0.22474903092734166,,,,8.946718678239646,0.0,0.0,0.0,moderate,5.21937,13,1.0833333333333333,7,13,0.5828927000692685,moderate,0.012081273010583784,0.4444444444444444,0.38290810409500764,half_period,20,6,0.3,-0.007944643108063197,-2.968163053400893,0.006221090484589357,0.002564097136774534,0.025965347029713745,,0.0,1.0,0.0
EPIC_211839462,5.21937,saved_period,comparison_candidate,0.8161132519625844,14,0.0021011618575651,6.365967499407254,0.0014218409988620007,9.968153040720244,0.1736689327008207,0.002002499870179,0.0022609554751731,0.885687441512172,8.203210125111534,0.0,0.0,0.0,low,2.609685,10,0.7142857142857143,10,8,0.7628051454419452,strong,0.01049659783489309,0.9285714285714286,0.3042388298686563,saved_period,14,12,0.8571428571428571,0.00037293319475376226,5.58572667910694,0.0003250731457845848,7.632917887865782e-05,0.0034729244129371034,,0.0,0.0,1.0
EPIC_211839462,10.43874,double_period,comparison_candidate,0.9098728906197249,8,0.0020025322020168,6.365967499407254,0.001503557771618258,4.897284427334344,0.15323795076255914,0.002002499870179,0.0019107945004431998,0.9542045564639149,13.024263615006145,0.001434436526825178,4.730670797710015,0.7163113409015451,high,5.21937,13,1.625,13,5,0.8630409037502734,strong,0.005837912492312349,1.0,0.24620163266179154,double_period,7,7,1.0,0.000575015181584514,7.99092310977613,7.83034437573591e-05,7.372127426388277e-05,0.003123204852524796,,0.0,0.0,1.0
