"epic_id","best_period_days","period_support_count","event_family_count","folded_depth_consistency","duration_consistency","odd_even_depth_delta","coverage_rate","hit_rate_snr","hit_rate_shape","soft_hit_rate","stage_d_label","stage_d_reason"
"EPIC_211878672","10.716529819124844","12","5","0.702255420152783","1.0","0.4644882221400456","1.0","0.2857142857142857","0.14285714285714285","0.2857142857142857","pass_deeper_eval","period_support_count=12; depth_consistency=0.702; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211425098","12.238654773791268","12","9","0.6942596401724904","0.5499999999999999","0.0007860988334796922","1.0","1.0","0.8333333333333334","1.0","pass_deeper_eval","period_support_count=12; depth_consistency=0.694; duration_consistency=0.550; validated cache-light-curve support"
"EPIC_211552564","18.53167560711927","12","4","0.6805579546258204","0.793103448275862","0.640682887058847","1.0","0.75","0.5","0.75","pass_deeper_eval","period_support_count=12; depth_consistency=0.681; duration_consistency=0.793; validated cache-light-curve support"
"EPIC_211569204","14.659857875562466","11","4","0.8743804446671559","0.7941176470588235","0.3956460734262026","1.0","0.4","0.2","0.4","pass_deeper_eval","period_support_count=11; depth_consistency=0.874; duration_consistency=0.794; validated cache-light-curve support"
"EPIC_211511562","17.499746383455204","11","4","0.764320721446767","0.7631578947368421","0.616702575084241","1.0","0.25","0.25","0.25","pass_deeper_eval","period_support_count=11; depth_consistency=0.764; duration_consistency=0.763; validated cache-light-curve support"
"EPIC_211562803","12.402095704885141","11","4","0.7462795824393826","0.8","0.6153180351976464","1.0","0.5","0.16666666666666666","0.5","pass_deeper_eval","period_support_count=11; depth_consistency=0.746; duration_consistency=0.800; validated cache-light-curve support"
"EPIC_211538087","10.787977590043965","11","4","0.6478238587826236","0.6176470588235294","0.20589406740426486","1.0","0.42857142857142855","0.42857142857142855","0.42857142857142855","pass_deeper_eval","period_support_count=11; depth_consistency=0.648; duration_consistency=0.618; validated cache-light-curve support"
"EPIC_211530033","15.50762230141845","10","6","0.9093175626572692","0.9361702127659575","0.19647611542028046","1.0","1.0","0.6","1.0","pass_deeper_eval","period_support_count=10; depth_consistency=0.909; duration_consistency=0.936; validated cache-light-curve support"
"EPIC_211818652","11.42133326516705","10","4","0.8148346664871553","0.7272727272727273","0.26432828775491995","1.0","0.2857142857142857","0.2857142857142857","0.2857142857142857","pass_deeper_eval","period_support_count=10; depth_consistency=0.815; duration_consistency=0.727; validated cache-light-curve support"
"EPIC_211791780","18.00028949379339","10","6","0.6753294941574156","0.6666666666666666","0.42523407489487997","1.0","0.25","0.25","0.25","pass_deeper_eval","period_support_count=10; depth_consistency=0.675; duration_consistency=0.667; validated cache-light-curve support"
"EPIC_211833851","18.613234525993676","9","6","0.8429666489919493","0.75","0.11370148865029961","1.0","0.5","0.25","0.5","pass_deeper_eval","period_support_count=9; depth_consistency=0.843; duration_consistency=0.750; validated cache-light-curve support"
"EPIC_211947686","11.881061730008014","8","5","0.8952162896177489","0.8695652173913044","0.5574735015018112","1.0","0.8333333333333334","0.3333333333333333","0.8333333333333334","pass_deeper_eval","period_support_count=8; depth_consistency=0.895; duration_consistency=0.870; validated cache-light-curve support"
"EPIC_211910082","19.798300977400004","8","4","0.88281364599107","0.9791666666666667","0.38065822165541774","1.0","1.0","0.6666666666666666","1.0","pass_deeper_eval","period_support_count=8; depth_consistency=0.883; duration_consistency=0.979; validated cache-light-curve support"
"EPIC_211396246","5.0670921209678","8","6","0.8319569702913201","0.9523809523809523","0.05672542793991518","1.0","0.6666666666666666","0.2","0.6666666666666666","pass_deeper_eval","period_support_count=8; depth_consistency=0.832; duration_consistency=0.952; validated cache-light-curve support"
