epic_id,ra_deg,dec_deg,k2_magnitude,investigation_ids,known_disposition_local,known_disposition_reason_local,known_confirmed_in_stage_b,known_planet_catalog_match_count,known_planet_candidate_match_count,known_eb_or_variable_match_count,internal_candidate_hit_count,gaia_id,tic_id,simbad_id,identifier_note,stellar_radius_solar,radius_ratio_sqrt_depth,planet_radius_earth_estimate,planet_radius_note,nearby_sources_within_60_arcsec,nearby_sources_within_120_arcsec,nearest_neighbor_epic_id,nearest_neighbor_sep_arcsec,nearest_neighbor_mag,nearest_neighbor_delta_mag,contamination_risk,contamination_notes,local_catalogs_checked,evidence_json,stage_h_label,stage_h_notes
EPIC_211534076,135.598416,13.618975,9.94, GO5020_LC|GO5104_LC,unresolved and still needing triage/classification,not_in_period_stage_random_sample_n5000,False,0,0,0,2,,,,No Gaia/TIC/SIMBAD identifier found in local metadata files searched.,,0.0324344506050064,,No stellar radius found in local metadata; only radius ratio sqrt(depth) is available.,0,1,EPIC_211535662,98.11343755210483,18.049,8.109,low,No Campaign 5 target within 60 arcsec in local target list.,nasa_confirmed_k2_planets_reference;k2_confirmed_planet_coverage_audit;k2_confirmed_planet_recall_audit;k2_ephemerides;data_k2_epic_ids;combined_exoplanet_data;binary_star_classification_results;candidates_c5_best_per_star_internal;candidates_c5_star_ranking_internal;data/k2_target_lists/K2Campaign5targets.csv;local parquet metadata,"{""internal_pipeline_candidate_hits"": [{""file"": ""candidates_c5_best_per_star.csv"", ""line"": 7451, ""text"": ""7450,EPIC_211534076,0.5595388,2816,3328,2369.4901159095134,K2""}, {""file"": ""candidates_c5_star_ranking.csv"", ""line"": 7536, ""text"": ""7535,EPIC_211534076,0.5295791625976562,0.5595387816429138,0.5595387816429138,0.5162714123725891,0.5129273533821106,0.04326736927032471,0.06314963847398758,3,K2""}], ""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": [], ""nearby_campaign5_sources_within_120_arcsec"": [{""delta_mag"": 8.109, ""epic_id"": ""EPIC_211535662"", ""investigation_ids"": "" GO5096_LC"", ""magnitude"": 18.049, ""sep_arcsec"": 98.11343755210483}]}",known_unconfirmed_candidate,"reclassified as known unconfirmed candidate; recovered by pipeline, not a novel discovery claim"
EPIC_211889692,124.317115,18.57549,11.469, GO5007_LC|GO5029_LC|GO5104_LC,unresolved and still needing triage/classification,not_in_period_stage_random_sample_n5000,False,0,0,0,0,,,,No Gaia/TIC/SIMBAD identifier found in local metadata files searched.,,0.0308922774838599,,No stellar radius found in local metadata; only radius ratio sqrt(depth) is available.,1,2,EPIC_211890226,27.699693498867195,11.708,0.23900000000000077,high,Nearby similar-brightness C5 target EPIC_211890226 at 27.7 arcsec; delta_mag=0.239.,nasa_confirmed_k2_planets_reference;k2_confirmed_planet_coverage_audit;k2_confirmed_planet_recall_audit;k2_ephemerides;data_k2_epic_ids;combined_exoplanet_data;binary_star_classification_results;candidates_c5_best_per_star_internal;candidates_c5_star_ranking_internal;data/k2_target_lists/K2Campaign5targets.csv;local parquet metadata,"{""internal_pipeline_candidate_hits"": [], ""known_candidate_hits"": [], ""known_eb_variable_hits"": [], ""known_planet_hits"": [], ""nearby_campaign5_sources_within_120_arcsec"": [{""delta_mag"": 0.23900000000000077, ""epic_id"": ""EPIC_211890226"", ""investigation_ids"": "" GO5007_LC|GO5020_LC|GO5102_LC"", ""magnitude"": 11.708, ""sep_arcsec"": 27.699693498867195}, {""delta_mag"": 0.9670000000000005, ""epic_id"": ""EPIC_211890598"", ""investigation_ids"": "" GO5007_LC|GO5029_LC|GO5106_LC|GO5060_LC"", ""magnitude"": 12.436, ""sep_arcsec"": 110.02136208379038}]}",new_candidate_needs_external_check,not found in local known planet/ephemeris/EB catalogs; external archive check still required
