"epic_id","best_period_days","stage_e_visual_label","stage_f_label","stage_f_reason","visual_label","final_candidate_status","manual_review_status","review_bin","visual_notes","reviewer","reviewed_at","primary_depth","primary_depth_snr","transit_duration_days","transit_duration_hours","radius_ratio_sqrt_depth","secondary_depth_phase_05","secondary_depth_snr","secondary_to_primary_depth_ratio","odd_depth_median","even_depth_median","odd_even_depth_ratio","odd_even_depth_delta_explicit","oot_variability_amp","oot_variability_to_depth","alias_best_period_days","alias_best_support_count","alias_best_support_ratio","half_period_support_count","double_period_support_count","alias_risk","phase_0_folded_path","phase_05_secondary_check_path","alias_period_comparison_path","odd_even_zoom_path","validation_summary_json_path"
"EPIC_212001099","16.325087564604473","visual_planet_like_candidate","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","visual_promote_primary_candidate","promote_primary_candidate","promote_primary_candidate","promoted_candidate","Best of batch. Clean fold, balanced odd/even, convincing primary, no obvious secondary.","OC","2026-04-30","0.0009269073125877","8.914151086678777","0.4290660180922714","10.297584434214514","0.03044515253020914","0.0","0.0","0.0","0.00092239920965175","0.001021850680530125","0.9026751434693172","0.10451463798884011","0.00025292452102884666","0.27286926922902666","8.162543782302237","4","0.3076923076923077","4","4","low","plots\k2_batch\stage_f_next10_batch2\EPIC_212001099\phase_0_folded.png","plots\k2_batch\stage_f_next10_batch2\EPIC_212001099\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10_batch2\EPIC_212001099\alias_period_comparison.png","plots\k2_batch\stage_f_next10_batch2\EPIC_212001099\odd_even_zoom.png","plots\k2_batch\stage_f_next10_batch2\EPIC_212001099\validation_summary.json"
"EPIC_211954033","11.441882991133753","visual_planet_like_candidate","stage_f_planet_like","survives secondary-eclipse, alias, odd/even, and OOT variability checks","visual_promote_candidate_alias_check","promote_candidate_alias_check","promote_candidate_alias_check","promoted_candidate_alias_check","Strong high-SNR signal and coherent transit shape. Promote, but alias caution because 2P/3 support exceeds nominal P.","OC","2026-04-30","0.001877982642517","80.20641397919435","0.4903668147744611","11.768803554587066","0.04333569709277791","0.0","0.0","0.0","0.0022471365232548","0.0016672055453146","0.7419244572197974","0.3088052918119291","0.0018929477089876183","1.0079686926448699","7.627921994089168","7","0.5833333333333334","5","3","low","plots\k2_batch\stage_f_next10_batch2\EPIC_211954033\phase_0_folded.png","plots\k2_batch\stage_f_next10_batch2\EPIC_211954033\phase_05_secondary_check.png","plots\k2_batch\stage_f_next10_batch2\EPIC_211954033\alias_period_comparison.png","plots\k2_batch\stage_f_next10_batch2\EPIC_211954033\odd_even_zoom.png","plots\k2_batch\stage_f_next10_batch2\EPIC_211954033\validation_summary.json"
