strict_rank,hybrid_v3_rank,epic_id,strict_route,strict_policy_reason,strict_promoted,strict_score_pass,hybrid_v3_strict_score,hybrid_v3_strict_fp_penalty,v3_base_score,hybrid_score_v3,training_label_v3,science_binary_v3,is_unresolved_v3,needs_stage_f_validation,flux_p_science_like,stage_d_quality_score,stage_f_quality_score,stage_f_odd_even_penalty,stage_f_oot_penalty,stage_f_secondary_penalty,stage_f_alias_penalty,best_period_days
12,12,EPIC_211954033,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.4463878956945767,0.16637335550915558,0.6127612512037323,0.4463878956945767,candidate_like,science_like,False,False,0.6687077879905701,0.7606405369679347,0.7542135646601965,0.6176105836238582,0.503984346322435,0.0,0.4666666666666668,11.441882991133753
21,21,EPIC_211889692,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.3668733759907108,0.25,0.6168733759907108,0.3668733759907108,planet_like,science_like,False,False,0.6479401588439941,0.9103772815812514,0.65,1.0,1.0,0.0,0.0,17.673423499920546
30,30,EPIC_211908778,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.2968011370789394,0.15,0.4468011370789394,0.2968011370789394,candidate_like,science_like,False,True,0.6561423540115356,0.6186052526996079,0.25,0.0,0.0,0.0,0.0,14.945896123012062
34,34,EPIC_211404127,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.28326424405092454,0.15,0.4332642440509245,0.2832642440509245,candidate_like,science_like,False,True,0.626497745513916,0.605960132484216,0.25,0.0,0.0,0.0,0.0,18.613248512338032
35,35,EPIC_211759361,hold_queue,known_science_like_missed_by_strict_rule_keep_for_audit,False,False,0.27974429014042745,0.15,0.4297442901404274,0.2797442901404274,candidate_like,science_like,False,True,0.7104972004890442,0.4742810798770479,0.25,0.0,0.0,0.0,0.0,14.608622348492643
