epic_id,period_days,period_source,period_status,cluster_center_phase,event_family_count,primary_depth,primary_depth_snr,folded_primary_depth,folded_primary_depth_snr,transit_duration_days,odd_depth_median,even_depth_median,odd_even_depth_ratio,oot_to_depth,secondary_depth_phase_05,secondary_depth_snr,secondary_to_primary_depth_ratio,alias_risk,alias_best_period_days,alias_best_support_count,alias_best_support_ratio,half_period_support_count,double_period_support_count,event_stack_coherence_score,event_stack_coherence,event_timing_rms_phase,event_epoch_coverage,event_depth_mad_fraction
EPIC_211340132,3.02388,visual_packet_fallback_provisional,provisional_not_trusted,0.8472682533805229,20,0.007075912997282351,10.584215388896773,0.003824990344846513,5.3285674893189405,0.31669284751478693,0.0070371168411498,0.007336221648288449,0.9592290389415332,0.8693363244485081,0.0,0.0,0.0,low,6.04776,11,0.55,9,11,0.6236494898830132,moderate,0.016807845444492143,0.7916666666666666,0.3279001216262497
EPIC_211340132,9.153408,historical_period_search,comparison_candidate,0.3300510905236414,6,0.0065075228479963,26.044089980918812,0.0,0.0,0.36777298340166453,0.0070371168411498,0.0059779288548428,0.8494855193943407,1.1813924528994741,0.0,0.0,0.0,moderate,6.102272,6,1.0,5,5,0.7142137306533161,moderate,0.014205559268488445,1.0,0.4100623882120233
EPIC_211340132,1.51194,half_visual_fallback,comparison_candidate,0.7126682906826841,9,0.0070371168411498,13.19722106451849,0.0017071656963472126,,0.3269099033932434,0.00754941799226975,0.0041902311553579,0.5550402904764977,0.11499337913160673,-3.9013588581937597e-07,-0.00030759563122159027,-5.543973400271571e-05,high,3.02388,14,1.5555555555555556,8,14,0.5561964207838136,moderate,0.009230067333486379,0.20454545454545456,0.36400493446651816
EPIC_211340132,6.04776,double_visual_fallback,comparison_candidate,0.4250650916538112,12,0.0067007214586311,13.267133607353255,0.0005097361998422922,0.780487998696514,0.3473381883959519,0.0071100679743825,0.00583685215652805,0.8209277573095175,0.8153540651655656,0.0008138299091375867,2.3976390499491615,0.12145407239533952,moderate,3.02388,14,1.1666666666666667,14,7,0.7748485910224203,strong,0.01026390790560176,1.0,0.3981539142087615
EPIC_211340132,18.306816,double_historical_period,comparison_candidate,0.1565419893472914,5,0.0059779288548428,10.297754984134864,0.0017324196068277398,3.946939885371074,0.1838889166610897,0.0081426193775245,0.0041358578936789,0.507927204002046,1.1511456677056473,0.0024560986992538947,5.1788439498796865,0.4108611458739888,moderate,9.153408,5,1.0,5,4,0.7524882756549066,strong,0.009743373925925627,1.0,0.681928660641601
