"epic_id","promote_tier","n_events_long_good","n_events_ge_10_cadences","max_shape_score","spike_fraction_2cadence","depth_ratio","stage_r_reason","events_csv","events_csv_available","n_events_raw","n_events_after_filters","best_period_days","period_support_count","event_family_count","folded_depth_consistency","duration_consistency","odd_even_depth_delta","period_search_reason","cluster_center_phase","n_predicted","n_covered","coverage_rate","hit_rate_snr","hit_rate_shape","soft_hit_rate","cache_hits","cache_misses","downloads_done","validations_run","stage_d_label","stage_d_reason"
"EPIC_211842439","Tier_A","10","17","0.8675257382753601","0.0769230769230769","180.52044020517712","promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.077","plots\k2_batch\epics\EPIC_211842439\events.csv","True","26","26","15.93678195803659","14","4","0.9125872976904167","1.0","0.041570722428988106","validated","0.060032446681016476","5","5","1.0","0.8","0.6","0.8","1","0","0","3","pass_deeper_eval","period_support_count=14; depth_consistency=0.913; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211425098","Tier_A","10","12","0.8584246258398098","0.2352941176470588","17.442358768641615","promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.235","plots\k2_batch\epics\EPIC_211425098\events.csv","True","17","17","12.238654773791268","12","9","0.6942596401724904","0.5499999999999999","0.0007860988334796922","validated","0.8893543510346331","6","6","1.0","1.0","0.8333333333333334","1.0","1","0","0","3","pass_deeper_eval","period_support_count=12; depth_consistency=0.694; duration_consistency=0.550; validated cache-light-curve support"
"EPIC_211538087","Tier_A","10","14","0.8317946248071857","0.2058823529411764","42.462798742015","promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.206","plots\k2_batch\epics\EPIC_211538087\events.csv","True","34","34","10.787977590043965","11","4","0.6478238587826236","0.6176470588235294","0.20589406740426486","validated","0.18285528950713106","7","7","1.0","0.42857142857142855","0.42857142857142855","0.42857142857142855","1","0","0","3","pass_deeper_eval","period_support_count=11; depth_consistency=0.648; duration_consistency=0.618; validated cache-light-curve support"
"EPIC_211563576","Tier_A","9","15","0.9141253582306036","0.303030303030303","39.20541977550187","promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.303","plots\k2_batch\epics\EPIC_211563576\events.csv","True","33","33","17.142289455598302","15","9","0.6906327801428302","1.0","0.36932154549851753","validated","0.7464770646325907","4","4","1.0","0.75","0.25","0.75","1","0","0","3","pass_deeper_eval","period_support_count=15; depth_consistency=0.691; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211818652","Tier_A","9","19","0.8555259411426679","0.1481481481481481","6.5483166766906535","promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.148","plots\k2_batch\epics\EPIC_211818652\events.csv","True","27","27","11.42133326516705","10","4","0.8148346664871553","0.7272727272727273","0.26432828775491995","validated","0.11287275272697093","7","7","1.0","0.2857142857142857","0.2857142857142857","0.2857142857142857","1","0","0","3","pass_deeper_eval","period_support_count=10; depth_consistency=0.815; duration_consistency=0.727; validated cache-light-curve support"
"EPIC_211887206","Tier_A","9","21","0.8247170500711752","0.1212121212121212","25.2909653122875","promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.121","plots\k2_batch\epics\EPIC_211887206\events.csv","True","33","33","16.447552240118966","12","6","0.7496720298217943","0.5909090909090909","0.6119158456281801","validated","0.3465786803647431","4","4","1.0","0.75","0.25","0.75","1","0","0","3","pass_deeper_eval","period_support_count=12; depth_consistency=0.750; duration_consistency=0.591; validated cache-light-curve support"
"EPIC_211791780","Tier_A","9","13","0.821541034646183","0.1071428571428571","22.428621874213","promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.107","plots\k2_batch\epics\EPIC_211791780\events.csv","True","28","28","18.00028949379339","10","6","0.6753294941574156","0.6666666666666666","0.42523407489487997","validated","0.44814104618476325","4","4","1.0","0.25","0.25","0.25","1","0","0","3","pass_deeper_eval","period_support_count=10; depth_consistency=0.675; duration_consistency=0.667; validated cache-light-curve support"
"EPIC_211955365","Tier_A","9","15","0.7965873008763289","0.25","28.951430703449955","promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250","plots\k2_batch\epics\EPIC_211955365\events.csv","True","24","24","13.515559290237206","14","5","0.7186482147857511","0.75","0.10336993334055868","validated","0.01558188751753323","5","5","1.0","0.6","0.2","0.6","1","0","0","3","pass_deeper_eval","period_support_count=14; depth_consistency=0.719; duration_consistency=0.750; validated cache-light-curve support"
"EPIC_211511562","Tier_A","8","17","0.929918178983926","0.1034482758620689","19.62805457049204","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=21; spike_fraction_2cadence=0.103","plots\k2_batch\epics\EPIC_211511562\events.csv","True","29","29","17.499746383455204","11","4","0.764320721446767","0.7631578947368421","0.616702575084241","validated","0.9987376042290365","4","4","1.0","0.25","0.25","0.25","1","0","0","3","pass_deeper_eval","period_support_count=11; depth_consistency=0.764; duration_consistency=0.763; validated cache-light-curve support"
"EPIC_211562803","Tier_A","8","17","0.9156760507366252","0.1290322580645161","27.09957224962161","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.129","plots\k2_batch\epics\EPIC_211562803\events.csv","True","31","31","12.402095704885141","11","4","0.7462795824393826","0.8","0.6153180351976464","validated","0.6334772918694553","6","6","1.0","0.5","0.16666666666666666","0.5","1","0","0","3","pass_deeper_eval","period_support_count=11; depth_consistency=0.746; duration_consistency=0.800; validated cache-light-curve support"
