epic_id,status,files,seconds,error
201754305,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo201754305-c01_lc\\ktwo201754305-c01_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
204129699,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo204129699-c02_lc\\ktwo204129699-c02_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
205071984,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo205071984-c02_lc\\ktwo205071984-c02_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
206042996,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo206042996-c03_lc\\ktwo206042996-c03_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
206103150,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo206103150-c03_sc\\ktwo206103150-c03_slc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
211647930,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo211647930-c16_lc\\ktwo211647930-c16_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
211897691,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo211897691-c05_lc\\ktwo211897691-c05_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
212048748,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo212048748-c16_lc\\ktwo212048748-c16_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
212297394,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo212297394-c06_lc\\ktwo212297394-c06_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
212756297,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo212756297-c06_sc\\ktwo212756297-c06_slc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
212779563,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo212779563-c17_sc\\ktwo212779563-c17_slc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
217977895,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo217977895-c07_lc\\ktwo217977895-c07_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
245943455,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo245943455-c12_lc\\ktwo245943455-c12_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
245978988,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo245978988-c19_lc\\ktwo245978988-c19_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
248518307,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo248518307-c14_lc\\ktwo248518307-c14_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
251319382,error,0,0.0,LightkurveError('Error in reading Data product k2_cache\\mastDownload\\K2\\ktwo251319382-c16_lc\\ktwo251319382-c16_llc.fits of type KeplerLightCurve .\nThis file may be corrupt due to an interrupted download. Please remove it from your disk and try again.')
60017806,no_search_results,0,2.2922706604003906,
60021410,no_search_results,0,1.6794853210449219,
201092629,ok,1,1.4562666416168213,
201102594,ok,1,2.556637763977051,
201110617,ok,1,1.6858210563659668,
201128338,ok,1,1.3952915668487549,
201130233,ok,1,1.4455716609954834,
201132684,ok,1,2.9895739555358887,
201155177,ok,1,1.681034803390503,
201166680,ok,1,2.260089635848999,
201205469,ok,1,2.864441394805908,
201208431,ok,1,2.409142017364502,
201211526,ok,1,1.3417115211486816,
201225286,ok,1,2.097243070602417,
201238110,ok,1,2.1943271160125732,
201295312,ok,1,2.412936210632324,
201338508,ok,1,2.336526870727539,
201345483,ok,1,2.3761985301971436,
201357643,ok,1,1.9955275058746338,
201367065,ok,1,2.4923179149627686,
201384232,ok,1,2.3338823318481445,
201386739,ok,1,1.729323387145996,
201390048,ok,1,2.2304162979125977,
201393098,ok,1,2.795651912689209,
201403446,ok,1,2.635288953781128,
201437844,ok,1,2.35398006439209,
201445392,ok,1,2.839040994644165,
201460826,ok,1,2.066861152648926,
201465501,ok,1,2.6094725131988525,
201498078,ok,1,2.3914573192596436,
201505350,ok,1,2.947991132736206,
201528828,ok,1,1.8644521236419678,
201546283,ok,1,4.166728973388672,
201549860,ok,1,2.8734195232391357,
201577035,ok,1,2.7101306915283203,
201595106,ok,1,1.7905733585357666,
201596316,ok,1,2.693241596221924,
201598502,ok,1,1.6024601459503174,
201613023,ok,1,2.7687880992889404,
201615463,ok,1,1.97304105758667,
201629650,ok,1,3.2834911346435547,
201635569,ok,1,2.730165481567383,
201637175,ok,1,2.2194223403930664,
201647718,ok,1,4.096708059310913,
201677835,ok,1,2.2137296199798584,
201690311,ok,1,2.012418031692505,
201713348,ok,1,2.367713212966919,
201736247,ok,1,3.3100743293762207,
201833600,ok,1,2.731949806213379,
201841433,ok,1,2.8145060539245605,
201855371,ok,1,2.7565338611602783,
201862715,ok,1,2.623830556869507,
201912552,ok,1,3.787656545639038,
202083828,ok,1,3.1353867053985596,
202126849,ok,1,2.4443836212158203,
202126852,ok,1,3.7866923809051514,
203771098,ok,1,2.3285868167877197,
203776696,ok,1,1.8049218654632568,
203826436,ok,1,1.6331896781921387,
204221263,ok,1,2.2448275089263916,
204750116,ok,1,1.8139312267303467,
204890128,ok,1,1.9336779117584229,
205111664,ok,1,1.9924702644348145,
205117205,ok,1,1.6039373874664307,
205686202,ok,1,1.6684203147888184,
205904628,ok,1,2.6929409503936768,
205916793,ok,1,3.148190498352051,
205924614,ok,1,2.151024103164673,
205950854,ok,1,2.9161877632141113,
206007892,ok,1,1.7614984512329102,
206008091,ok,1,1.7844171524047852,
206011496,ok,1,2.377420663833618,
206011691,ok,1,3.7686173915863037,
206024342,ok,1,2.9000062942504883,
206026136,ok,1,2.7772762775421143,
206026904,ok,1,2.1895864009857178,
206027655,ok,1,2.486130714416504,
206038483,ok,1,2.620746612548828,
206044803,ok,1,2.441593647003174,
206049764,ok,1,2.348611831665039,
206055981,ok,1,2.9678843021392822,
206082454,ok,1,2.7026617527008057,
206096602,ok,1,2.3985536098480225,
206101302,ok,1,2.027971029281616,
206119924,ok,1,2.586860179901123,
206125618,ok,1,2.3783974647521973,
206135682,ok,1,3.0704500675201416,
206144956,ok,1,3.44972562789917,
206146957,ok,1,3.2322301864624023,
206153219,ok,1,2.9614663124084473,
206154641,ok,1,3.115349531173706,
206159027,ok,1,2.6397294998168945,
206162305,ok,1,2.8638806343078613,
206181769,ok,1,2.367109775543213,
206192813,ok,1,2.4830358028411865,
206209135,ok,1,3.2796573638916016,
206215704,ok,1,2.7207231521606445,
206245553,ok,1,3.187183380126953,
206247743,ok,1,2.6456782817840576,
206268299,ok,1,2.629761219024658,
206317286,ok,1,2.9001941680908203,
206318379,ok,1,3.8162214756011963,
206348688,ok,1,3.3020293712615967,
210363145,ok,1,4.085726737976074,
210402237,ok,1,2.9513089656829834,
210403955,ok,1,3.4707746505737305,
210448987,ok,1,5.933618068695068,
210490365,ok,1,4.26092791557312,
210508766,ok,1,4.1560728549957275,
210512842,ok,1,5.858191728591919,
210558622,ok,1,5.039386510848999,
210577548,ok,1,3.142648696899414,
210667381,ok,1,5.001732110977173,
210693462,ok,1,3.7438299655914307,
210707130,ok,1,4.765535831451416,
210718708,ok,1,3.2238597869873047,
210731500,ok,1,3.580850124359131,
210750726,ok,1,2.818056106567383,
210797580,ok,1,3.4810049533843994,
210818897,ok,1,4.199193954467773,
210838726,ok,1,4.680925130844116,
210894022,ok,1,7.610335350036621,
210897587,ok,1,3.8001275062561035,
210957318,ok,1,3.9209916591644287,
210965800,ok,1,3.172778606414795,
210968143,ok,1,2.588277578353882,
211048999,ok,1,4.195926666259766,
211077024,ok,1,2.5529890060424805,
211089792,ok,1,3.1579477787017822,
211311380,ok,1,2.973599433898926,
211314705,ok,1,2.645249128341675,
211319617,ok,1,3.591874361038208,
211331236,ok,1,3.0717613697052,
211351816,ok,1,3.442650318145752,
211355342,ok,1,3.3261303901672363,
211359660,ok,1,3.362471342086792,
211391664,ok,1,3.623300313949585,
211399359,ok,1,3.221385955810547,
211401787,ok,1,3.2570552825927734,
211413752,ok,1,2.1744306087493896,
211414619,ok,1,2.9184625148773193,
211418729,ok,1,3.9174082279205322,
211442297,ok,1,3.5977706909179688,
211490999,ok,1,3.125453472137451,
211491383,ok,1,3.1226046085357666,
