batch_order,epic_id,best_period_days,period_support_count,visual_label,summary_json_path,hybrid_v3_rank,strict_rank,hybrid_v3_strict_score,v3_base_score,hybrid_v3_strict_fp_penalty,flux_p_science_like,stage_d_quality_score,stage_d_label,stage_d_reason,events_csv
1,EPIC_211538087,10.787977590043964,11,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch1_input_summaries\EPIC_211538087\EPIC_211538087_summary.json,25,25,0.3373546867405733,0.3991229069618527,0.0617682202212794,0.5293968319892883,0.6053360630624074,pass_deeper_eval,period_support_count=11; depth_consistency=0.648; duration_consistency=0.618; validated cache-light-curve support,plots\k2_batch\epics\EPIC_211538087\events.csv
2,EPIC_211818652,11.42133326516705,10,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch1_input_summaries\EPIC_211818652\EPIC_211818652_summary.json,26,26,0.3326741251903237,0.4119726115167997,0.0792984863264759,0.5625735521316528,0.6102874730828849,pass_deeper_eval,period_support_count=10; depth_consistency=0.815; duration_consistency=0.727; validated cache-light-curve support,plots\k2_batch\epics\EPIC_211818652\events.csv
3,EPIC_211908778,14.945896123012062,22,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch1_input_summaries\EPIC_211908778\EPIC_211908778_summary.json,30,30,0.2968011370789394,0.4468011370789394,0.15,0.6561423540115356,0.6186052526996079,hold_deeper_eval,"finite period with support=22, but deeper-eval guardrails are incomplete or marginal; reason=validated",plots\k2_batch\epics\EPIC_211908778\events.csv
4,EPIC_211552564,18.53167560711927,12,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch1_input_summaries\EPIC_211552564\EPIC_211552564_summary.json,31,31,0.289905131747309,0.439905131747309,0.15,0.6611554622650146,0.5840028798182156,pass_deeper_eval,period_support_count=12; depth_consistency=0.681; duration_consistency=0.793; validated cache-light-curve support,plots\k2_batch\epics\EPIC_211552564\events.csv
5,EPIC_211936906,15.466843811052968,10,visual_planet_like_candidate,plots\k2_batch\stage_f_v3_recovery_batch1_input_summaries\EPIC_211936906\EPIC_211936906_summary.json,33,33,0.2832820515823274,0.4332820515823274,0.15,0.7025758028030396,0.4995220824050547,hold_deeper_eval,"finite period with support=10, but deeper-eval guardrails are incomplete or marginal; reason=validated",plots\k2_batch\epics\EPIC_211936906\events.csv
