target_id,mission,num_segments,star_score
TIC 151760597,TESS,310,0.9957132339477539
TIC 287959034,TESS,459,0.9955157041549683
TIC 420962989,TESS,470,0.9954430460929871
TIC 155986102,TESS,494,0.995199978351593
TIC 467690903,TESS,642,0.995125412940979
TIC 245665919,TESS,689,0.9950323104858398
EPIC 201164625,TESS,636,0.9949405789375305
TIC 177612321,TESS,588,0.994682788848877
EPIC 212797028,TESS,193,0.9944539070129395
EPIC 204882444,TESS,429,0.9944260716438293
KIC 9246715,Kepler,202,0.9944208264350891
K2-126,TESS,1801,0.9944049715995789
TIC 101272159,TESS,534,0.9942680597305298
KIC 7541502,Kepler,999,0.9942577481269836
KIC 10015516,Kepler,202,0.9941829442977905
KIC 10352603,Kepler,275,0.9940996170043945
KIC 6877673,Kepler,275,0.9939876794815063
KIC 11922782,Kepler,1666,0.9937117695808411
TIC 308504559,TESS,490,0.9934278726577759
KIC 6525196,Kepler,1754,0.9933242797851562
EPIC 212310244,TESS,193,0.9932377934455872
K2-37,TESS,1928,0.9931289553642273
KIC 8129189,Kepler,202,0.9930899739265442
TIC 335813590,TESS,385,0.9928587675094604
KIC 6891512,Kepler,1881,0.992712676525116
EPIC 205632508,TESS,182,0.9923712611198425
K2-233,TESS,1929,0.9923164248466492
TIC 110936761,TESS,589,0.9922139048576355
KIC 6131659,Kepler,202,0.9921633005142212
TIC 357347296,TESS,134,0.9917963147163391
K2-231,TESS,581,0.9916572570800781
EPIC 204124270,TESS,443,0.9916450381278992
K2-409,TESS,433,0.991330623626709
EPIC 212645891,TESS,194,0.9900310635566711
TIC 3680800,TESS,542,0.989948570728302
TIC 165414210,TESS,128,0.9892416000366211
TIC 2621212,TESS,1758,0.9891937375068665
K2-199,TESS,1758,0.9891937375068665
TIC 181208298,TESS,790,0.988926887512207
KIC 3757590,Kepler,275,0.988634467124939
KIC 8552540,Kepler,1754,0.9883973002433777
EPIC 205145448,TESS,192,0.9877852201461792
TIC 17361,TESS,330,0.9875894784927368
KIC 9344623,Kepler,275,0.9868720769882202
EPIC 246366798,TESS,442,0.9861372113227844
KIC 9028474,Kepler,202,0.9861245155334473
EPIC 212525618,TESS,192,0.9859907031059265
TIC 70524163,TESS,176,0.985907256603241
KIC 6778289,Kepler,202,0.9857122302055359
TIC 68035558,TESS,388,0.9850984811782837
KIC 3644542,Kepler,999,0.9850559234619141
KIC 8690001,Kepler,93,0.9847556948661804
TIC 118301361,TESS,485,0.9846211671829224
TIC 77527511,TESS,394,0.9846020936965942
TIC 243921117,TESS,1506,0.984265923500061
K2-290,TESS,426,0.983967661857605
EPIC 212525174,TESS,189,0.9833730459213257
TIC 397653875,TESS,506,0.9821488261222839
KIC 5553624,Kepler,275,0.982104480266571
K2-194,TESS,415,0.9814528226852417
KIC 8572936,Kepler,275,0.9814289212226868
K2-24,TESS,1906,0.981423020362854
TIC 187861378,TESS,316,0.9806106686592102
EPIC 248869142,TESS,368,0.9802402257919312
KIC 5456023,Kepler,275,0.9800955057144165
TIC 205044976,TESS,490,0.978480339050293
EPIC 213840781,TESS,584,0.9783416986465454
EPIC 211620138,TESS,1024,0.9782875180244446
EPIC 216111905,TESS,513,0.9782390594482422
KIC 3836439,Kepler,982,0.9779529571533203
KIC 10583181,Kepler,1666,0.977879524230957
TIC 166495921,TESS,714,0.9772752523422241
EPIC 250001426,TESS,192,0.9759133458137512
KIC 6610219,Kepler,202,0.9756392240524292
TIC 272994016,TESS,667,0.9754897356033325
EPIC 250099723,TESS,193,0.9754616022109985
TIC 111991770,TESS,273,0.9751966595649719
KIC 9474969,Kepler,202,0.9749432802200317
HD 106315,TESS,670,0.9739775657653809
TIC 311116297,TESS,134,0.9737228155136108
KIC 3230227,Kepler,1855,0.9734005928039551
EPIC 219114906,TESS,515,0.9731335639953613
EPIC 205152172,TESS,175,0.9726980328559875
TIC 259151170,TESS,661,0.9725430607795715
KIC 10274244,Kepler,2884,0.9723698496818542
EPIC 249731291,TESS,186,0.9722903370857239
TIC 458458156,TESS,129,0.9721277952194214
KIC 10156064,Kepler,987,0.9718335866928101
EPIC 249391469,TESS,190,0.9715605974197388
TIC 281118572,TESS,561,0.9713374376296997
TIC 92443533,TESS,712,0.9712503552436829
TIC 254301731,TESS,702,0.9711340069770813
TIC 288348498,TESS,504,0.9709771871566772
EPIC 201299088,TESS,642,0.9706268310546875
EPIC 215717520,TESS,731,0.9705951809883118
TIC 192321638,TESS,465,0.9695068597793579
EPIC 249217834,TESS,306,0.9691656827926636
KIC 5632781,Kepler,202,0.9690914154052734
TIC 230982415,TESS,729,0.9687503576278687
EPIC 215381481,TESS,516,0.9670417904853821
EPIC 212813907,TESS,186,0.9656344652175903
TIC 304774444,TESS,604,0.9653509259223938
EPIC 228784812,TESS,645,0.9650877714157104
KIC 3098194,Kepler,275,0.9650475382804871
KIC 8711548,Kepler,275,0.9645230174064636
KIC 4073089,Kepler,155,0.9639461636543274
EPIC 212534729,TESS,189,0.9637210965156555
EPIC 204990932,TESS,170,0.9632022976875305
TIC 209320688,TESS,507,0.9627096056938171
TIC 466928064,TESS,292,0.9626097679138184
EPIC 218874453,TESS,523,0.9615820646286011
TIC 81247877,TESS,322,0.9607345461845398
TIC 95574586,TESS,554,0.9595355987548828
EPIC 218332621,TESS,212,0.9593054056167603
KIC 4255422,Kepler,202,0.9591887593269348
EPIC 249865296,TESS,194,0.9589713215827942
TIC 58461209,TESS,82,0.9587227702140808
TIC 373729723,TESS,147,0.9582805633544922
KIC 3240159,Kepler,202,0.9580764770507812
K2-286,TESS,424,0.9575766324996948
KIC 8257407,Kepler,275,0.9575273394584656
TIC 117322779,TESS,706,0.9565311670303345
K2-377,TESS,423,0.9560308456420898
TIC 446166017,TESS,510,0.9547584652900696
TIC 250478345,TESS,466,0.954349160194397
KIC 8044608,Kepler,275,0.9528800845146179
KIC 10748621,Kepler,275,0.9513995051383972
TIC 258634801,TESS,494,0.9510656595230103
KIC 7132542,Kepler,275,0.9498826265335083
EPIC 212661144,TESS,189,0.9484325647354126
HIP 80474,TESS,425,0.9477415084838867
K2-128,TESS,1794,0.9473475217819214
EPIC 203139512,TESS,175,0.9470802545547485
TIC 8416274,TESS,142,0.946097731590271
TIC 104153474,TESS,461,0.9432323575019836
KIC 10420279,Kepler,275,0.9431044459342957
TIC 317520667,TESS,1834,0.9415681958198547
EPIC 205463986,TESS,428,0.9414567947387695
TIC 65446983,TESS,458,0.9403823018074036
EPIC 205470347,TESS,428,0.9403804540634155
EPIC 220605820,TESS,598,0.9398661851882935
KIC 8760135,Kepler,332,0.9394165873527527
KIC 6449552,Kepler,275,0.9389599561691284
KIC 7846730,Kepler,202,0.9383095502853394
KIC 3120320,Kepler,1640,0.9378760457038879
K2-38,TESS,425,0.9375680088996887
TIC 377024332,TESS,372,0.9367339015007019
EPIC 249559552,TESS,175,0.9336700439453125
KIC 8491745,Kepler,275,0.9335417747497559
KIC 4824268,Kepler,275,0.933301568031311
TIC 941340744,TESS,585,0.9326590299606323
EPIC 210789323,TESS,233,0.9323713183403015
EPIC 212424622,TESS,423,0.9315004348754883
TIC 48253329,TESS,81,0.9310184717178345
KIC 9656397,Kepler,275,0.9303970336914062
EPIC 246067130,TESS,486,0.9299632906913757
EPIC 218621322,TESS,512,0.9298751950263977
TIC 366698929,TESS,250,0.9297075271606445
KIC 4586482,Kepler,275,0.9293001294136047
KIC 2307206,Kepler,332,0.9284154772758484
EPIC 205483055,TESS,194,0.9280191659927368
HATS-11,TESS,527,0.9270868301391602
KIC 8378922,Kepler,275,0.9269478917121887
