epic_id,mission,n_points,n_segments,best_seg_score,mean_seg_score,median_seg_score,std_seg_score,status,error,priority
210818897,K2,3274,9,0.4689982533454895,0.4472564160823822,0.4568166434764862,0.0245462227612733,ok,,0.45672514196485287
211990866,K2,3429,10,0.488350361585617,0.417139858007431,0.431069403886795,0.0674623474478721,ok,,0.454619187861681
212768333,K2,3543,10,0.4491737782955169,0.424310028553009,0.4212292432785034,0.0158537719398736,ok,,0.4412468923255801
249622103,K2,4039,12,0.4305061101913452,0.4109602868556976,0.4140955507755279,0.011912977322936,ok,,0.42454962152987724
212178066,K2,3638,11,0.4214596748352051,0.3918918371200561,0.3907643258571625,0.0204562321305274,ok,,0.4112315587699414
211611158,K2,3436,10,0.4392532706260681,0.3468688130378723,0.3505908846855163,0.0681223645806312,ok,,0.4051920883357525
249801827,K2,4027,12,0.4365819096565246,0.3783746063709259,0.4153076708316803,0.0640180557966232,ok,,0.404572881758213
201912552,K2,3518,10,0.4386037290096283,0.3279109299182892,0.3446515798568725,0.0687131285667419,ok,,0.4042471647262573
211529065,K2,3433,10,0.4251506626605987,0.3730332255363464,0.3857176303863525,0.0428591929376125,ok,,0.40372106619179243
210965800,K2,3279,9,0.4111012816429138,0.3845621347427368,0.3849879205226898,0.0198069475591182,ok,,0.40119780786335474
212555594,K2,3534,10,0.4311180114746094,0.3547948002815246,0.350265771150589,0.0635050237178802,ok,,0.39936549961566925
216008129,K2,3437,10,0.4128088057041168,0.3663699924945831,0.3624164462089538,0.027458406984806,ok,,0.39907960221171385
212686205,K2,3517,10,0.4043318629264831,0.3746958374977112,0.373736560344696,0.0180481299757957,ok,,0.3953077979385852
210490365,K2,3272,9,0.4031929671764374,0.3707404434680938,0.360208660364151,0.0204952470958232,ok,,0.3929453436285258
214173069,K2,3446,10,0.4017216861248016,0.3660275936126709,0.3597787022590637,0.018445273861289,ok,,0.39249904919415707
220321605,K2,3497,10,0.4318465292453766,0.3373787999153137,0.3684654235839844,0.0808915197849273,ok,,0.39140076935291296
212012119,K2,3436,10,0.4158529043197632,0.3795931339263916,0.405497670173645,0.0493332706391811,ok,,0.3911862690001726
212357477,K2,3541,10,0.4074655473232269,0.3563186526298523,0.3678416609764099,0.0328829027712345,ok,,0.3910240959376096
216405287,K2,3446,10,0.4101519882678985,0.3614754974842071,0.3750440776348114,0.0405739396810531,ok,,0.389865018427372
212460519,K2,3540,10,0.4184261560440063,0.3324791193008423,0.3477932810783386,0.059436485171318,ok,,0.3887079134583473
247267267,K2,3627,11,0.403571218252182,0.3369760811328888,0.3379442095756531,0.0318579375743866,ok,,0.3876422494649887
247589423,K2,3637,11,0.4034717679023742,0.3606396913528442,0.3724507689476013,0.0323386415839195,ok,,0.38730244711041445
206144956,K2,3186,9,0.4457681477069855,0.3173150718212127,0.3412569463253021,0.1170873045921325,ok,,0.38722449541091924
249910734,K2,4039,12,0.4174900949001312,0.3450035750865936,0.3741831481456756,0.0663431733846664,ok,,0.384318508207798
217941732,K2,3447,10,0.415061205625534,0.3557284772396087,0.3839040994644165,0.0621707402169704,ok,,0.3839758355170488
211897691,K2,3431,10,0.3947005867958069,0.3672900795936584,0.3764540553092956,0.0224638488143682,ok,,0.38346866238862276
218916923,K2,3432,10,0.407845675945282,0.3232370018959045,0.323902428150177,0.0491815097630023,ok,,0.38325492106378084
248758353,K2,3674,11,0.3955227732658386,0.3428570628166199,0.3354418873786926,0.0263750124722719,ok,,0.38233526702970266
249889081,K2,4022,12,0.3996763825416565,0.3380482196807861,0.3221970796585083,0.037382535636425,ok,,0.380985114723444
210363145,K2,3267,9,0.3988041281700134,0.3479873239994049,0.3544984757900238,0.0359743274748325,ok,,0.38081696443259716
206119924,K2,3187,9,0.3879466354846954,0.3642802238464355,0.3672840595245361,0.0156009709462523,ok,,0.3801461500115692
213715787,K2,3405,10,0.412058562040329,0.3193789422512054,0.319605141878128,0.0639753937721252,ok,,0.38007086515426636
211913977,K2,3430,10,0.3836353421211242,0.3648881316184997,0.363876461982727,0.0110769951716065,ok,,0.37809684453532094
206181769,K2,3182,9,0.3948754966259002,0.3410454392433166,0.3240690231323242,0.0350286923348903,ok,,0.3773611504584551
248861279,K2,3661,11,0.3984978795051574,0.3085200190544128,0.2941727638244629,0.0426651872694492,ok,,0.3771652858704328
217977895,K2,3429,10,0.3908142447471618,0.3434265255928039,0.345759630203247,0.0296700894832611,ok,,0.37597920000553126
211594205,K2,3444,10,0.4320743978023529,0.3002521395683288,0.2928304970264435,0.1143208369612693,ok,,0.37491397932171827
214787262,K2,3447,10,0.4259448945522308,0.3304539322853088,0.3932017982006073,0.104866474866867,ok,,0.3735116571187973
203826436,K2,2471,6,0.3839424848556518,0.3577879965305328,0.3570369780063629,0.0222882851958274,ok,,0.3727983422577381
220170303,K2,3483,10,0.3916431367397308,0.3384121060371399,0.3395938873291015,0.038012322038412,ok,,0.3726369757205248
210797580,K2,3616,11,0.4119856059551239,0.3108127117156982,0.3455897867679596,0.0798058360815048,ok,,0.3720826879143715
211970147,K2,3413,10,0.3953509926795959,0.3345798254013061,0.3470486998558044,0.0469499081373214,ok,,0.3718760386109352
201613023,K2,3546,10,0.3919452726840973,0.338527500629425,0.3544892072677612,0.0404154174029827,ok,,0.37173756398260593
212069861,K2,3399,10,0.4096743762493133,0.2820619344711303,0.3054004907608032,0.0760125368833541,ok,,0.37166810780763626
220598331,K2,3488,10,0.3963336944580078,0.3225782513618469,0.3369285762310028,0.0513189695775508,ok,,0.3706742096692324
210838726,K2,3279,9,0.3841724991798401,0.3466376066207886,0.3513243496417999,0.0281485393643379,ok,,0.3700982294976711
