epic_id,training_label_v3,science_binary_v3,stage_g_support_tier,stage_g_calibrated_score,flux_p_science_like,final_candidate_status,stage_d_label,stage_d_quality_score
EPIC_211954033,candidate_like,science_like,review_support,0.55928650183,0.668707787991,promote_candidate_alias_check,pass_deeper_eval,0.760640536968
EPIC_211889692,planet_like,science_like,review_support,0.516237480665,0.647940158844,recovered_known_confirmed_planet,pass_deeper_eval,0.910377281581
EPIC_211759361,candidate_like,science_like,weak_support,0.370758292198,0.710497200489,candidate_with_caveat,hold_deeper_eval,0.474281079877
