epic_id,training_label_v3,science_binary_v3,training_label_rule,final_candidate_status,review_bin,source_batch,best_period_days,stage_f_label,stage_h_label,visual_label,reviewer,reviewed_at,model_score,model_score_top3_mean,model_score_top10_mean,model_score_mean,model_score_median,flux_num_segments_x,best_segment_start,best_segment_end,best_segment_mid_time,best_segment_raw_score,target_science_like,binary_eval_included,rank_by_model_score,flux_p_science_like,flux_p_top3_mean,flux_p_top10_mean,flux_num_segments_y,flux_best_segment_start,flux_best_segment_end,flux_best_segment_mid_time,score_minus_existing_flux_p_science_like,abs_score_delta_vs_existing_flux,pred_at_clean_shortlist_threshold,pred_at_best_f1_threshold,correct_at_clean_shortlist_threshold,correct_at_best_f1_threshold,notes_reason
EPIC_211569204,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,14.659857875562466,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04,0.6856498718261719,0.6589184006055196,0.5141399294137955,0.4719829696875352,0.4085509181022644,13,2816,3328,2369.489106186691,0.6856498718261719,0,True,12,0.6856498718261719,0.6589184006055196,0.5141399294137955,13,2816,3328,2369.489106186691,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_manual_false_positive; final_candidate_status=reject_manual_false_positive; review_bin=manual_false_positive_stage_f_review; source_batch=stage_f_hybrid_v2_reviewed; stage_f_label=stage_f_hold; visual_label=visual_reject_after_stage_f_review
EPIC_211748059,uncertain_hold,not_science_like,final_candidate_status:secondary_hold,secondary_hold,secondary_hold,stage_f_next10_batch2_manual_review,17.42822978276672,stage_f_planet_like,,visual_secondary_hold,OC,2026-04-30,0.6816136837005615,0.6523628433545431,0.5710595220327377,0.5228715951626117,0.5474653244018555,13,512,1024,2322.3535044738346,0.6816136837005615,0,True,13,0.6816136837005615,0.6523628433545431,0.5710595220327377,13,512,1024,2322.3535044738346,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:secondary_hold; final_candidate_status=secondary_hold; review_bin=secondary_hold; source_batch=stage_f_next10_batch2_manual_review; stage_f_label=stage_f_planet_like; visual_label=visual_secondary_hold
EPIC_211739276,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,19.164904292916617,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30,0.6772735118865967,0.6313258608182272,0.5550146222114563,0.5189988223405985,0.537520170211792,13,256,768,2317.1226463777275,0.6772735118865967,0,True,14,0.6772735118865967,0.6313258608182272,0.5550146222114563,13,256,768,2317.1226463777275,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_manual_false_positive; final_candidate_status=reject_manual_false_positive; review_bin=manual_false_positive_visual_review; source_batch=stage_f_next10_batch1; stage_f_label=stage_f_planet_like; visual_label=visual_reject_after_manual_review
EPIC_211926132,uncertain_hold,not_science_like,final_candidate_status:secondary_hold,secondary_hold,secondary_hold,stage_f_next10_batch2_manual_review,16.723298121680273,stage_f_reject,,visual_secondary_hold,OC,2026-04-30,0.6761777400970459,0.6510870655377706,0.5633841931819916,0.5241243976813096,0.5283234119415283,13,1280,1792,2338.0451065291927,0.6761777400970459,0,True,15,0.6761777400970459,0.6510870655377706,0.5633841931819916,13,1280,1792,2338.0451065291927,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:secondary_hold; final_candidate_status=secondary_hold; review_bin=secondary_hold; source_batch=stage_f_next10_batch2_manual_review; stage_f_label=stage_f_reject; visual_label=visual_secondary_hold
EPIC_211554121,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,14.057024791287404,stage_f_hold,,visual_reject_after_manual_review,OC,2026-04-30,0.6750602722167969,0.6490737199783325,0.5820027351379394,0.5531911551952362,0.5534727573394775,13,1280,1792,2338.044935005535,0.6750602722167969,0,True,16,0.6750602722167969,0.6490737199783325,0.5820027351379394,13,1280,1792,2338.044935005535,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_manual_false_positive; final_candidate_status=reject_manual_false_positive; review_bin=manual_false_positive_visual_review; source_batch=stage_f_next10_batch1; stage_f_label=stage_f_hold; visual_label=visual_reject_after_manual_review
EPIC_211972767,variable_or_artifact,not_science_like,final_candidate_status:reject_likely_variable_or_binary,reject_likely_variable_or_binary,likely_variable_or_binary_reject,stage_f_hybrid_v2_reviewed,17.10134562114399,stage_f_hold,,visual_reject_likely_variable_or_binary,,2026-05-04,0.6733503341674805,0.6440232992172241,0.5533951133489609,0.5169241932722238,0.4982844591140747,13,256,768,2317.1224067020958,0.6733503341674805,0,True,17,0.6733503341674805,0.6440232992172241,0.5533951133489609,13,256,768,2317.122406702096,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_likely_variable_or_binary; final_candidate_status=reject_likely_variable_or_binary; review_bin=likely_variable_or_binary_reject; source_batch=stage_f_hybrid_v2_reviewed; stage_f_label=stage_f_hold; visual_label=visual_reject_likely_variable_or_binary
EPIC_211423229,noise_or_artifact,not_science_like,manual_stage_f_label:reject_as_noise_or_artifact,reject_as_noise_or_artifact,manual_stage_f_v3_review,batch3,12.54515116427524,stage_f_hold,,reject_as_noise_or_artifact,OC,2026-05-04,0.6713709831237793,0.6568306883176168,0.6136233687400818,0.5914266384564913,0.609299898147583,13,1024,1536,2332.8145835319156,0.6713709831237793,0,True,18,0.6713709831237793,0.6568306883176168,0.6136233687400818,13,1024,1536,2332.814583531916,0.0,0.0,False,True,correct,incorrect,training_label_rule=manual_stage_f_label:reject_as_noise_or_artifact; final_candidate_status=reject_as_noise_or_artifact; review_bin=manual_stage_f_v3_review; source_batch=batch3; stage_f_label=stage_f_hold; visual_label=reject_as_noise_or_artifact
EPIC_211954033,candidate_like,science_like,final_candidate_status:promote_candidate_alias_check,promote_candidate_alias_check,promoted_keep_reviewing,stage_f_next10_batch2_manual_review,11.441882991133753,stage_f_planet_like,,visual_promote_candidate_alias_check,OC,2026-04-30,0.6687077879905701,0.6308594743410746,0.549836179614067,0.4953746497631073,0.534408688545227,13,2304,2816,2358.9671311136044,0.6687077879905701,1,True,19,0.6687077879905701,0.6308594743410746,0.549836179614067,13,2304,2816,2358.9671311136044,0.0,0.0,False,True,incorrect,correct,training_label_rule=final_candidate_status:promote_candidate_alias_check; final_candidate_status=promote_candidate_alias_check; review_bin=promoted_keep_reviewing; source_batch=stage_f_next10_batch2_manual_review; stage_f_label=stage_f_planet_like; visual_label=visual_promote_candidate_alias_check
EPIC_211396246,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,5.0670921209678,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04,0.6674925088882446,0.6661770542462667,0.6107338428497314,0.5857702103944925,0.5975303649902344,13,1024,1536,2332.814500321154,0.6674925088882446,0,True,20,0.6674925088882446,0.6661770542462667,0.6107338428497314,13,1024,1536,2332.814500321154,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_manual_false_positive; final_candidate_status=reject_manual_false_positive; review_bin=manual_false_positive_stage_f_review; source_batch=stage_f_hybrid_v2_reviewed; stage_f_label=stage_f_hold; visual_label=visual_reject_after_stage_f_review
EPIC_211842439,uncertain_hold,not_science_like,final_candidate_status:hold_low_priority_candidate,hold_low_priority_candidate,low_priority_candidate_hold,stage_f_next10_batch1,15.93678195803659,stage_f_planet_like,,visual_possible_candidate_low_priority,OC,2026-04-30,0.6608452796936035,0.6238475441932678,0.5897171914577484,0.5624092335884388,0.5768492221832275,13,512,1024,2322.3534907944522,0.6608452796936035,0,True,21,0.6608452796936035,0.6238475441932678,0.5897171914577484,13,512,1024,2322.353490794452,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:hold_low_priority_candidate; final_candidate_status=hold_low_priority_candidate; review_bin=low_priority_candidate_hold; source_batch=stage_f_next10_batch1; stage_f_label=stage_f_planet_like; visual_label=visual_possible_candidate_low_priority
