epic_id,target_science_like,flux_p_science_like,flux_p_top3_mean,flux_p_top10_mean,flux_num_segments,stage_d_quality_score,stage_f_quality_score,best_period_days,period_support_count,event_family_count,folded_depth_consistency,duration_consistency,odd_even_depth_delta,primary_depth_snr,secondary_depth_snr,secondary_to_primary_depth_ratio,odd_even_depth_delta_explicit,oot_variability_to_depth,alias_best_support_ratio,stage_f_odd_even_penalty,stage_f_secondary_penalty,stage_f_oot_penalty,stage_f_alias_penalty,n_events_long_good,n_events_ge_10_cadences,max_shape_score,spike_fraction_2cadence,depth_ratio,n_events_raw,n_events_after_filters,cluster_center_phase,n_predicted,n_covered,coverage_rate,hit_rate_snr,hit_rate_shape,soft_hit_rate,cache_hits,cache_misses,downloads_done,validations_run,stage_f_best_quality_score,stage_f_rows,stage_f_quality_score_raw,stage_d_positive_score,stage_d_spike_clean,stage_d_odd_even_clean,stage_d_odd_even_penalty
EPIC_211534076,1,0.6541130542755127,0.575658897558848,0.491503894329071,13,0.7226062005650227,0.9186451273445112,15.221580048255191,16,5,0.8115918451248266,0.9565217391304348,0.1429201407325919,72.47101116423728,0.0,0.0,0.1429201407325919,0.3224908848326961,0.3125,0.2858402814651838,0.0,0.161245442416348,0.0,13,20,0.855307609270227,0.2631578947368421,27.17586940955213,38,38,0.0795826853131468,4,4,1.0,0.5,0.5,0.5,1,0,0,3,0.9186451273445112,1.0,0.9186451273445112,0.7756109741819757,0.2481203007518797,0.7141597185348162,0.2858402814651838
EPIC_211889692,1,0.6479401588439941,0.6354987621307373,0.5993576586246491,13,0.9103772815812514,0.65,17.673423499920546,21,5,0.8911991813361217,0.7916666666666667,0.0507731386905771,32.91362501436644,,0.0,0.5521356662214799,2.25163102155132,0.238095238095238,1.0,0.0,1.0,0.0,15,20,0.8757310614371051,0.0384615384615384,15.30623744286524,26,26,0.1721261016740966,4,4,1.0,1.0,0.75,1.0,1,0,0,3,0.65,1.0,0.65,0.9139104346776404,0.8901098901098903,0.8984537226188458,0.1015462773811542
EPIC_211490307,0,0.7290341258049011,0.6968155900637308,0.6275667309761047,13,0.6888812084802352,0.8190975506496548,12.80064960272307,18,6,0.8415847679803974,0.6136363636363635,0.3764688669443513,18.355230915068795,,0.0,0.2794457748987067,0.5805066605844216,0.4444444444444444,0.5588915497974134,0.0,0.2902533302922108,0.1888888888888888,11,16,0.8194936608105479,0.1935483870967742,29.87992459434132,31,31,0.0422547489885349,6,6,1.0,0.6666666666666666,0.5,0.6666666666666666,1,0,0,3,0.8190975506496548,1.0,0.8190975506496548,0.7639209631508227,0.4470046082949308,0.2470622661112974,0.7529377338887026
EPIC_211525754,0,0.6139881610870361,0.5995702544848124,0.5489794880151748,13,0.7190406398678482,0.8637704404155293,13.198848621046864,14,6,0.9184157767190644,0.9583333333333334,0.1776629394856127,65.85013986042081,,0.0,0.1776629394856127,0.6593346410125313,0.4285714285714285,0.3553258789712254,0.0,0.3296673205062656,0.157142857142857,7,14,0.8065152288077873,0.217391304347826,9.37481331028957,23,23,0.9339929562413662,5,5,1.0,0.8,0.4,0.8,1,0,0,3,0.8637704404155293,1.0,0.8637704404155293,0.7645373049917938,0.37888198757764,0.6446741210287745,0.3553258789712254
EPIC_211551640,0,0.6369973421096802,0.6201474865277609,0.5772376477718353,13,0.7981880275843733,0.723892413373141,10.563287809098483,21,7,0.9359130232369672,1.0,0.3678919987893941,525.8469996140429,,0.0,0.3678919987893941,1.128867637671828,0.5714285714285714,0.7357839975787882,0.0,0.564433818835914,0.4428571428571428,13,15,0.8242570296708012,0.21875,48.44970506185607,32,32,0.5077591821436135,7,7,1.0,1.0,0.5714285714285714,1.0,1,0,0,3,0.723892413373141,1.0,0.723892413373141,0.9032421797152004,0.375,0.2642160024212118,0.7357839975787882
EPIC_211554121,0,0.6750602722167969,0.6490737199783325,0.5820027351379394,13,0.597343576267107,0.6273422083277186,14.057024791287404,15,6,0.8604473744226185,0.6666666666666666,0.4889995714486745,5.781808652692599,0.0,0.0,1.384633697151172,0.7646042684352079,0.3333333333333333,1.0,0.0,0.3823021342176039,0.0,4,13,0.7901124721058373,0.25,12.841198712687312,32,32,0.4773783587839234,5,5,1.0,0.6,0.6,0.6,1,0,0,3,0.6273422083277186,1.0,0.6273422083277186,0.6946941626994912,0.2857142857142857,0.0220008571026509,0.977999142897349
EPIC_211555255,0,0.4000849425792694,0.3878671030203501,0.3481041669845581,13,0.7270512902601984,0.6889836684977515,9.929781530910986,20,7,0.8711994527517155,0.5555555555555556,0.1677492974100996,28.196406173295912,0.8707688006046018,0.1574174509834585,0.1702049170180183,1.8896751893774928,0.3,0.3404098340360366,0.314834901966917,0.9448375946887464,0.0,4,23,0.833757393976066,0.0789473684210526,19.87980101116924,38,38,0.3492335989806429,8,8,1.0,0.625,0.25,0.625,1,0,0,3,0.7114836684977516,2.0,0.6889836684977515,0.7287157508216044,0.774436090225564,0.6645014051798008,0.3354985948201992
EPIC_211563576,0,0.645002007484436,0.6439140637715658,0.5966962814331055,13,0.6722653965897453,0.5966964800146306,17.142289455598302,15,9,0.6906327801428302,1.0,0.3693215454985175,5.176813417034204,0.0,0.0,0.5843822332973503,0.9375752531742412,0.4,1.0,0.0,0.4687876265871206,0.1,9,15,0.9141253582306036,0.303030303030303,39.20541977550187,33,33,0.7464770646325907,4,4,1.0,0.75,0.25,0.75,1,0,0,3,0.5966964800146306,1.0,0.5966964800146306,0.7764211618311663,0.1341991341991343,0.261356909002965,0.738643090997035
EPIC_211739276,0,0.6772735118865967,0.6313258608182272,0.5550146222114563,13,0.5709689161691899,0.7656862366552344,19.164904292916617,15,6,0.8011001742617926,0.6666666666666666,0.4891783041162653,8.641648426216275,,0.0,0.2635042376149288,0.7332200794010014,0.4,0.5270084752298576,0.0,0.3666100397005007,0.1,7,12,0.8202554876373518,0.3783783783783784,22.424712353007585,37,37,0.27974132596661,3,3,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,0,0,3,0.7656862366552344,1.0,0.7656862366552344,0.6939280620855093,0.0,0.0216433917674694,0.9783566082325306
EPIC_211842439,0,0.6608452796936035,0.6238475441932678,0.5897171914577484,13,0.8098610962637469,0.9833717110284048,15.93678195803659,14,4,0.9125872976904168,1.0,0.0415707224289881,66.69039912441387,,0.0,0.0415707224289881,0.0,0.2857142857142857,0.0831414448579762,0.0,0.0,0.0,10,17,0.8675257382753601,0.0769230769230769,180.52044020517712,26,26,0.0600324466810164,5,5,1.0,0.8,0.6,0.8,1,0,0,3,0.9833717110284048,1.0,0.9833717110284048,0.8013707879038836,0.7802197802197803,0.916858555142024,0.0831414448579762
EPIC_211972200,0,0.6598517894744873,0.6193408767382304,0.5453507363796234,13,0.7688464015477825,0.83996173590777,18.91986675386579,19,4,0.9698031883868607,1.0,0.2261630657356436,851.7955448069436,,0.0,0.2261630657356436,0.9276405039729682,0.3157894736842105,0.4523261314712872,0.0,0.4638202519864841,0.0,4,19,0.8331570239017195,0.04,13.945690757095244,25,25,0.1628365303483095,4,4,1.0,0.75,0.5,0.75,1,0,0,3,0.83996173590777,1.0,0.83996173590777,0.7802944727633082,0.8857142857142857,0.5476738685287128,0.4523261314712872
EPIC_212003686,0,0.6519076824188232,0.6353590488433838,0.6027553498744964,13,0.7804350216355603,0.8371661947886296,12.44296006046352,18,8,0.6857651227953394,0.8958333333333334,0.5786311010728846,20.02103413557473,,0.0,0.0818780093435215,1.3344346863194905,0.5,0.163756018687043,0.0,0.6672173431597452,0.3,6,18,0.8425087591919436,0.0416666666666666,9.6521233653017,24,24,0.9447158803351644,6,6,1.0,1.0,0.6666666666666666,1.0,1,0,0,3,0.8371661947886296,1.0,0.8371661947886296,0.8550601309144464,0.8809523809523812,0.0,1.0
EPIC_211520800,0,0.6537245512008667,0.6296626528104147,0.5664997160434723,13,0.6245700775705227,0.6453994872749055,15.569002305841424,12,3,0.7697397612091472,0.875,0.5724138268457291,4.585524803721956,0.0,0.0,0.5724138268457291,0.0113655895709826,0.25,1.0,0.0,0.0056827947854913,0.0,10,19,0.8973373962480496,0.0769230769230769,20.72443224000781,26,26,0.2227723834869222,5,5,1.0,0.4,0.4,0.4,1,0,0,3,0.6453994872749055,1.0,0.6453994872749055,0.6760369479887104,0.7802197802197803,0.0,1.0
EPIC_211748059,0,0.6816136837005615,0.6523628433545431,0.5710595220327377,13,0.6643256216823236,0.7375186919144469,17.42822978276672,14,6,0.893396425832578,0.8095238095238095,0.1833255114427235,5.253299547045389,0.0,0.0,0.3134464055801121,0.2921819781859618,0.4285714285714285,0.6268928111602242,0.0,0.1460909890929809,0.157142857142857,5,17,0.8169694594065053,0.1666666666666666,9.142281919119538,30,30,0.0419724861924733,4,4,1.0,0.5,0.25,0.5,1,0,0,3,0.7375186919144469,1.0,0.7375186919144469,0.6831479958526301,0.523809523809524,0.6333489771145531,0.366651022885447
