hybrid_v3_rank,hybrid_rank,epic_id,candidate_score,needs_stage_f_validation,hybrid_v2_policy_note,flux_p_science_like,flux_recall_filter_pass,stage_d_quality_score,stage_f_quality_score,stage_f_available,false_positive_penalty,manual_label_penalty,stage_d_label,stage_f_conservative_label,best_period_days,period_support_count,event_family_count,folded_depth_consistency,duration_consistency,odd_even_depth_delta,primary_depth_snr,secondary_to_primary_depth_ratio,odd_even_depth_delta_explicit,oot_variability_to_depth,alias_best_support_ratio,stage_f_odd_even_penalty,stage_f_secondary_penalty,stage_f_oot_penalty,stage_f_alias_penalty,flux_num_segments,flux_p_top3_mean,flux_p_top10_mean,flux_best_segment_start,flux_best_segment_end,flux_best_segment_mid_time,events_csv,stage_f_source_csv,promote_tier,n_events_long_good,n_events_ge_10_cadences,max_shape_score,spike_fraction_2cadence,depth_ratio,stage_r_reason,events_csv_available,n_events_raw,n_events_after_filters,period_search_reason,cluster_center_phase,n_predicted,n_covered,coverage_rate,hit_rate_snr,hit_rate_shape,soft_hit_rate,cache_hits,cache_misses,downloads_done,validations_run,stage_d_reason,stage_f_best_quality_score,stage_f_rows,secondary_depth_snr,stage_f_quality_score_raw,stage_d_positive_score,stage_d_spike_clean,stage_d_odd_even_clean,stage_d_odd_even_penalty,training_label_v3,science_binary_v3,stage_f_label,primary_depth_snr_stage_f_hybrid_v2,secondary_to_primary_depth_ratio_stage_f_hybrid_v2,secondary_depth_snr_stage_f_hybrid_v2,odd_even_depth_delta_explicit_stage_f_hybrid_v2,oot_variability_to_depth_stage_f_hybrid_v2,alias_best_support_ratio_stage_f_hybrid_v2,stage_f_quality_score_override,stage_f_odd_even_penalty_override,stage_f_secondary_penalty_override,stage_f_oot_penalty_override,stage_f_alias_penalty_override,is_labeled_v3,is_unresolved_v3,is_tuning_row_v3,actual_science_like_v3,v3_base_score,hybrid_score_v3,hybrid_v3_false_positive_penalty,hybrid_v3_candidate_pass
11,28,EPIC_211569204,0.4348291418546033,True,high_flux_or_stage_d_but_missing_stage_f; validate_before_discovery_ranking,0.6856498718261719,True,0.6338573102462901,0.7791552700078092,False,0.1740842723075291,0.0,pass_deeper_eval,,14.659857875562466,11,4,0.8743804446671559,0.7941176470588235,0.3956460734262026,,,,,,0.7912921468524052,0.0,0.24906018596291385,0.027272727272727226,13,0.6589184006055196,0.5141399294137955,2816,3328,2369.489106186691,plots\k2_batch\epics\EPIC_211569204\events.csv,,Tier_A,12,17,0.8369947403705666,0.08,52.17645309942983,promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.080,True,25,25,validated,0.4440226314457466,5,5,1.0,0.4,0.2,0.4,1,0,0,3,period_support_count=11; depth_consistency=0.874; duration_consistency=0.794; validated cache-light-curve support,,,,,0.6654207707737014,0.7714285714285714,0.2087078531475947,0.7912921468524052,noise_or_artifact,not_science_like,stage_f_hold,21.69419954701523,0.0,0.0,0.3956460734262026,0.4981203719258277,0.3636363636363636,0.7791552700078092,0.7912921468524052,0.0,0.24906018596291385,0.027272727272727226,True,False,True,False,0.5932306002026849,0.44826712321489637,0.14496347698778853,False
12,6,EPIC_211954033,0.5663975245934392,False,,0.6687077879905701,True,0.7606405369679347,0.7542135646601965,True,0.3090915107352871,0.05,pass_deeper_eval,stage_f_planet_like,11.441882991133753,12,6,0.8382519101349952,0.9777777777777776,0.3088052918119291,80.20641397919435,0.0,0.3088052918119291,1.00796869264487,0.5833333333333334,0.6176105836238582,0.0,0.503984346322435,0.4666666666666668,13,0.6308594743410746,0.549836179614067,2304,2816,2358.9671311136044,plots\k2_batch\epics\EPIC_211954033\events.csv,k2_stage_f_next10_batch2_validation.csv,Tier_A,11,19,0.8636341031574459,0.2307692307692307,18.475595204680264,promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.231,True,26,26,validated,0.8028389957965737,6,6,1.0,1.0,0.5,1.0,1,0,0,3,period_support_count=12; depth_consistency=0.838; duration_consistency=0.978; validated cache-light-curve support,0.7542135646601965,1.0,0.0,0.7542135646601965,0.8482514010179772,0.3406593406593408,0.3823894163761417,0.6176105836238582,candidate_like,science_like,,,,,,,,,,,,,True,False,True,True,0.6127612512037323,0.4463878956945767,0.16637335550915558,False
13,27,EPIC_211910082,0.4371822419437551,True,high_flux_or_stage_d_but_missing_stage_f; validate_before_discovery_ranking,0.6361042261123657,True,0.7086768217347388,0.7526449447673036,False,0.1674896175283838,0.0,pass_deeper_eval,,19.798300977400004,8,4,0.88281364599107,0.9791666666666669,0.3806582216554177,,,,,,0.7613164433108354,0.0,0.1172784438035296,0.55,13,0.6265238126118978,0.589812284708023,512,1024,2322.3535499868703,plots\k2_batch\epics\EPIC_211910082\events.csv,,Tier_A,8,12,0.8745708324168595,0.1578947368421052,30.683332171095635,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.158,True,19,19,validated,0.6525545245530305,3,3,1.0,1.0,0.6666666666666666,1.0,1,0,0,3,period_support_count=8; depth_consistency=0.883; duration_consistency=0.979; validated cache-light-curve support,,,,,0.777800982185503,0.548872180451128,0.2386835566891646,0.7613164433108354,noise_or_artifact,not_science_like,stage_f_hold,113.11388144172318,0.0,,0.3806582216554177,0.2345568876070592,0.625,0.7526449447673036,0.7613164433108354,0.0,0.1172784438035296,0.55,True,False,True,False,0.5879669207648386,0.43454160988786034,0.15342531087697825,False
14,13,EPIC_211551640,0.5164843092348114,False,,0.6369973421096802,True,0.7981880275843733,0.723892413373141,True,0.5798991382863693,1.0,pass_deeper_eval,stage_f_planet_like,10.563287809098483,21,7,0.9359130232369672,1.0,0.3678919987893941,525.8469996140429,0.0,0.3678919987893941,1.128867637671828,0.5714285714285714,0.7357839975787882,0.0,0.564433818835914,0.4428571428571428,13,0.6201474865277609,0.5772376477718353,3072,3584,2374.719857610882,plots\k2_batch\epics\EPIC_211551640\events.csv,k2_stage_f_next10_validation.csv,Tier_A,13,15,0.8242570296708012,0.21875,48.44970506185607,promote: 13 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.219,True,32,32,validated,0.5077591821436135,7,7,1.0,1.0,0.5714285714285714,1.0,1,0,0,3,period_support_count=21; depth_consistency=0.936; duration_consistency=1.000; validated cache-light-curve support,0.723892413373141,1.0,,0.723892413373141,0.9032421797152004,0.375,0.2642160024212118,0.7357839975787882,noise_or_artifact,not_science_like,,,,,,,,,,,,,True,False,True,False,0.6034691799777667,0.41451534131449996,0.18895383866326676,False
15,12,EPIC_212003686,0.5373031246873224,False,,0.6519076824188232,True,0.7804350216355603,0.8371661947886296,True,0.635099121768754,1.0,pass_deeper_eval,stage_f_planet_like,12.44296006046352,18,8,0.6857651227953394,0.8958333333333334,0.5786311010728846,20.02103413557473,0.0,0.0818780093435215,1.3344346863194905,0.5,0.163756018687043,0.0,0.6672173431597452,0.3,13,0.6353590488433838,0.6027553498744964,1280,1792,2338.0447035968464,plots\k2_batch\epics\EPIC_212003686\events.csv,k2_stage_f_next10_validation.csv,Tier_A,6,18,0.8425087591919436,0.0416666666666666,9.6521233653017,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.042,True,24,24,validated,0.9447158803351644,6,6,1.0,1.0,0.6666666666666666,1.0,1,0,0,3,period_support_count=18; depth_consistency=0.686; duration_consistency=0.896; validated cache-light-curve support,0.8371661947886296,1.0,,0.8371661947886296,0.8550601309144464,0.8809523809523812,0.0,1.0,noise_or_artifact,not_science_like,,,,,,,,,,,,,True,False,True,False,0.6325679929526355,0.400846258636661,0.23172173431597454,False
16,15,EPIC_211520800,0.4962675486724521,False,,0.6537245512008667,True,0.6245700775705227,0.6453994872749055,True,0.3335229030613884,0.45,pass_deeper_eval,stage_f_reject,15.569002305841424,12,3,0.7697397612091472,0.875,0.5724138268457291,4.585524803721956,0.0,0.5724138268457291,0.0113655895709826,0.25,1.0,0.0,0.0056827947854913,0.0,13,0.6296626528104147,0.5664997160434723,0,512,2311.8316576306315,plots\k2_batch\epics\EPIC_211520800\events.csv,k2_stage_f_next10_batch2_validation.csv,Tier_A,10,19,0.8973373962480496,0.0769230769230769,20.72443224000781,promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.077,True,26,26,validated,0.2227723834869222,5,5,1.0,0.4,0.4,0.4,1,0,0,3,period_support_count=12; depth_consistency=0.770; duration_consistency=0.875; validated cache-light-curve support,0.6453994872749055,1.0,0.0,0.6453994872749055,0.6760369479887104,0.7802197802197803,0.0,1.0,low_priority_negative,not_science_like,,,,,,,,,,,,,True,False,True,False,0.5462959841316604,0.39572770465311125,0.15056827947854912,False
17,17,EPIC_211955365,0.4856512730153436,False,,0.6209514737129211,True,0.652386431029926,0.6295794524686625,True,0.3478214243921724,0.45,pass_deeper_eval,stage_f_reject,13.515559290237206,14,5,0.7186482147857511,0.75,0.1033699333405586,3.7643122561616216,0.0,0.2361031708487822,1.4365908008427897,0.3571428571428571,0.4722063416975644,0.0,0.7182954004213948,0.0142857142857142,13,0.6060840884844462,0.5684638679027557,512,1024,2322.353319712241,plots\k2_batch\epics\EPIC_211955365\events.csv,k2_stage_f_next10_batch2_validation.csv,Tier_A,9,15,0.7965873008763289,0.25,28.951430703449955,promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250,True,24,24,validated,0.0155818875175332,5,5,1.0,0.6,0.2,0.6,1,0,0,3,period_support_count=14; depth_consistency=0.719; duration_consistency=0.750; validated cache-light-curve support,0.6295794524686625,1.0,,0.6295794524686625,0.6771691869718791,0.2857142857142857,0.7932601333188828,0.2067398666811172,low_priority_negative,not_science_like,,,,,,,,,,,,,True,False,True,False,0.5378244866741695,0.3944497096631096,0.14337477701105988,False
18,16,EPIC_211739276,0.4892752782228279,False,,0.6772735118865967,True,0.5709689161691899,0.7656862366552344,True,0.5462282609572469,1.0,pass_deeper_eval,stage_f_planet_like,19.164904292916617,15,6,0.8011001742617926,0.6666666666666666,0.4891783041162653,8.641648426216275,0.0,0.2635042376149288,0.7332200794010014,0.4,0.5270084752298576,0.0,0.3666100397005007,0.1,13,0.6313258608182272,0.5550146222114563,256,768,2317.1226463777275,plots\k2_batch\epics\EPIC_211739276\events.csv,k2_stage_f_next10_validation.csv,Tier_A,7,12,0.8202554876373518,0.3783783783783784,22.424712353007585,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.378,True,37,37,validated,0.27974132596661,3,3,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,0,0,3,period_support_count=15; depth_consistency=0.801; duration_consistency=0.667; validated cache-light-curve support,0.7656862366552344,1.0,,0.7656862366552344,0.6939280620855093,0.0,0.0216433917674694,0.9783566082325306,noise_or_artifact,not_science_like,,,,,,,,,,,,,True,False,True,False,0.5712095173664149,0.38279502216148525,0.18841449520492964,False
19,29,EPIC_211947686,0.4304068417633789,True,high_flux_or_stage_d_but_missing_stage_f; validate_before_discovery_ranking,0.699910044670105,True,0.6237533045153688,0.6947946471252513,False,0.22,0.0,pass_deeper_eval,,11.881061730008014,8,5,0.8952162896177489,0.8695652173913044,0.5574735015018112,,,,,,1.0,0.0,0.18470235249832434,0.55,13,0.6804830233256022,0.6017912924289703,1024,1536,2332.8145553142385,plots\k2_batch\epics\EPIC_211947686\events.csv,,Tier_A,8,12,0.8156596223735075,0.2,33.84677418529661,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.200,True,20,20,validated,0.1228874215131687,6,6,1.0,0.8333333333333334,0.3333333333333333,0.8333333333333334,1,0,0,3,period_support_count=8; depth_consistency=0.895; duration_consistency=0.870; validated cache-light-curve support,,,,,0.713636434077976,0.4285714285714285,0.0,1.0,noise_or_artifact,not_science_like,stage_f_hold,21.368542534926195,0.0,,0.5574735015018112,0.3694047049966487,0.625,0.6947946471252513,1.0,0.0,0.18470235249832434,0.55,True,False,True,False,0.5746055035446918,0.37863526829485933,0.19597023524983243,False
20,7,EPIC_211732801,0.5642974418413238,True,high_flux_or_stage_d_but_missing_stage_f; validate_before_discovery_ranking,0.970463216304779,True,0.6903658530804826,0.43562457513740865,False,0.0697076475697967,0.0,pass_deeper_eval,,8.499644226245664,15,7,0.6824698421846229,0.6666666666666666,0.158426471749538,,,,,,0.0415934249154224,1.0,0.6448358374884684,0.6333333333333333,13,0.9662604133288064,0.92841255068779,1536,2048,2343.275633475976,plots\k2_batch\epics\EPIC_211732801\events.csv,,Tier_A,4,11,0.8527919232816045,0.2666666666666666,39.29971634484868,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.267,True,30,30,validated,0.1393473536963598,9,8,0.8888888888888888,1.0,0.5,1.0,1,0,0,3,period_support_count=15; depth_consistency=0.682; duration_consistency=0.667; validated cache-light-curve support,,,,,0.7407976177644244,0.2380952380952382,0.683147056500924,0.316852943499076,binary_system,not_science_like,stage_f_likely_eb,5.328128753282525,1.3400734623683526,6.58914371748962,0.0207967124577112,1.2896716749769368,0.6666666666666666,0.43562457513740865,0.0415934249154224,1.0,0.6448358374884684,0.6333333333333333,True,False,True,False,0.6211597327611454,0.3774815408207705,0.24367819194037493,False
