pl_name,k2_name,epic_hostname,default_flag,disposition,disp_refname,k2_campaigns,pl_orbper,rowupdate,releasedate
"K2-241 b","K2-241 b","EPIC 201092629",1,"CONFIRMED","Livingston et al. 2018","10",26.81990000000,"2022-03-28","2022-03-28"
"K2-242 b","K2-242 b","EPIC 201102594",1,"CONFIRMED","Livingston et al. 2018","10",6.51389000000,"2022-03-28","2022-03-28"
"K2-156 b","K2-156 b","EPIC 201110617",1,"CONFIRMED","Mayo et al. 2018","10",0.81314300000,"2022-03-28","2022-03-28"
"K2-156 b","K2-156 b","EPIC 201110617",0,"CONFIRMED","Mayo et al. 2018","10",0.81314000000,"2022-03-28","2022-03-28"
"K2-156 b","K2-156 b","EPIC 201110617",0,"CONFIRMED","Mayo et al. 2018","10",0.81314900000,"2018-07-12","2018-02-15"
"EPIC 201111557.01",,"EPIC 201111557",1,"CANDIDATE","Livingston et al. 2018","10",2.30183000000,"2018-08-02","2018-08-02"
"EPIC 201111557.01",,"EPIC 201111557",0,"CANDIDATE","Livingston et al. 2018","10",2.30236800000,"2018-02-15","2018-02-15"
"EPIC 201126503.01",,"EPIC 201126503",1,"CANDIDATE","Vanderburg et al. 2016","1",1.19474880000,"2015-12-05","2015-12-05"
"EPIC 201127519.01",,"EPIC 201127519",1,"CANDIDATE","Livingston et al. 2018","10",6.17887000000,"2018-08-02","2018-08-02"
"EPIC 201127519.01",,"EPIC 201127519",0,"CANDIDATE","Livingston et al. 2018","10",6.17836900000,"2018-02-15","2018-02-15"
"K2-152 b","K2-152 b","EPIC 201128338",1,"CONFIRMED","Hirano et al. 2018","10",32.64790000000,"2022-03-28","2022-03-28"
"K2-152 b","K2-152 b","EPIC 201128338",0,"CONFIRMED","Hirano et al. 2018","10",32.65270000000,"2018-07-12","2018-02-01"
"K2-157 b","K2-157 b","EPIC 201130233",1,"CONFIRMED","Mayo et al. 2018","10",0.36525750000,"2025-05-13","2025-05-13"
"K2-157 b","K2-157 b","EPIC 201130233",0,"CONFIRMED","Mayo et al. 2018","10",0.36525700000,"2018-02-14","2018-02-15"
"K2-157 b","K2-157 b","EPIC 201130233",0,"CONFIRMED","Mayo et al. 2018","10",0.36526100000,"2022-03-28","2022-03-28"
"K2-158 b","K2-158 b","EPIC 201132684",1,"CONFIRMED","Mayo et al. 2018","10",10.06049000000,"2022-03-28","2022-03-28"
"K2-158 b","K2-158 b","EPIC 201132684",0,"CONFIRMED","Mayo et al. 2018","10",10.06210600000,"2018-07-12","2018-02-15"
"K2-158 c","K2-158 c","EPIC 201132684",1,"CONFIRMED","Livingston et al. 2018","10",5.90279000000,"2022-03-28","2022-03-28"
"EPIC 201147085.01",,"EPIC 201147085",1,"CANDIDATE","Kruse et al. 2019","1",1.17589000000,"2019-09-05","2019-09-05"
"EPIC 201152065.01",,"EPIC 201152065",1,"CANDIDATE","Kruse et al. 2019","1",10.69660000000,"2019-09-05","2019-09-05"
"K2-42 b","K2-42 b","EPIC 201155177",1,"CONFIRMED","Crossfield et al. 2016","1",6.68796000000,"2016-07-14","2016-07-18"
"K2-42 b","K2-42 b","EPIC 201155177",0,"CONFIRMED","Crossfield et al. 2016","1",6.68743520000,"2015-12-05","2015-12-05"
"K2-42 b","K2-42 b","EPIC 201155177",0,"CONFIRMED","Crossfield et al. 2016","1",6.68851000000,"2019-09-05","2019-09-05"
"EPIC 201160662.01",,"EPIC 201160662",1,"CANDIDATE","Kruse et al. 2019","1",1.53741150000,"2019-09-05","2019-09-05"
"EPIC 201164625.01",,"EPIC 201164625",1,"CANDIDATE","Livingston et al. 2018","10",2.71189000000,"2018-08-02","2018-08-02"
"EPIC 201166680.01",,"EPIC 201166680",1,"CANDIDATE","Mayo et al. 2018","10",18.10549000000,"2018-02-15","2018-02-15"
"K2-243 b","K2-243 b","EPIC 201166680",1,"CONFIRMED","Livingston et al. 2018","10",11.54182000000,"2022-03-28","2022-03-28"
"K2-243 c","K2-243 c","EPIC 201166680",1,"CONFIRMED","Livingston et al. 2018","10",24.94598000000,"2022-03-28","2022-03-28"
"EPIC 201170410.02","K2-327 b","EPIC 201170410",1,"CONFIRMED","del Ser &amp; Fors 2020","1",6.79870000000,"2020-11-13","2020-11-19"
"EPIC 201176672.01",,"EPIC 201176672",1,"CANDIDATE","Crossfield et al. 2016","1",79.99990000000,"2016-07-18","2016-07-18"
"EPIC 201176672.02",,"EPIC 201176672",1,"CANDIDATE","Kruse et al. 2019","1",,"2019-09-05","2019-09-05"
"EPIC 201180665.01",,"EPIC 201180665",1,"CANDIDATE","Livingston et al. 2018","10",17.77297000000,"2018-08-02","2018-08-02"
"EPIC 201182911.01",,"EPIC 201182911",1,"CANDIDATE","Vanderburg et al. 2016","1",0.99656225000,"2015-12-05","2015-12-05"
"EPIC 201197348.01",,"EPIC 201197348",1,"CANDIDATE","Kruse et al. 2019","1",14.91390000000,"2019-09-05","2019-09-05"
"EPIC 201197348.01",,"EPIC 201197348",0,"CANDIDATE","Kruse et al. 2019","1",14.91238100000,"2015-12-05","2015-12-05"
"K2-43 b","K2-43 b","EPIC 201205469",1,"CONFIRMED","Crossfield et al. 2016","1",3.47114900000,"2019-08-09","2019-08-15"
"K2-43 b","K2-43 b","EPIC 201205469",0,"CONFIRMED","Crossfield et al. 2016","1",3.47128026240,"2024-12-10","2024-12-10"
"K2-43 b","K2-43 b","EPIC 201205469",0,"CONFIRMED","Crossfield et al. 2016","1",3.47134100000,"2019-08-09","2017-10-26"
"K2-43 b","K2-43 b","EPIC 201205469",0,"CONFIRMED","Crossfield et al. 2016","1",3.47128500000,"2015-12-05","2015-12-05"
"K2-43 b","K2-43 b","EPIC 201205469",0,"CONFIRMED","Crossfield et al. 2016","1",3.47114000000,"2019-08-09","2016-07-18"
"K2-43 b","K2-43 b","EPIC 201205469",0,"CONFIRMED","Crossfield et al. 2016","1",3.47113600000,"2019-09-05","2019-09-05"
"K2-43 c","K2-43 c","EPIC 201205469",1,"CONFIRMED","Hedges et al. 2019","1",2.19888400000,"2019-08-09","2019-08-15"
"K2-43 c","K2-43 c","EPIC 201205469",0,"CONFIRMED","Hedges et al. 2019","1",2.19945000000,"2019-09-05","2019-09-05"
"K2-4 b","K2-4 b","EPIC 201208431",1,"CONFIRMED","Montet et al. 2015","1",10.00341700000,"2017-12-12","2017-10-26"
"K2-4 b","K2-4 b","EPIC 201208431",0,"CONFIRMED","Montet et al. 2015","1",10.00440000000,"2017-12-12","2016-07-18"
"K2-4 b","K2-4 b","EPIC 201208431",0,"CONFIRMED","Montet et al. 2015","1",10.00329000000,"2017-12-12","2015-07-16"
"K2-4 b","K2-4 b","EPIC 201208431",0,"CONFIRMED","Montet et al. 2015","1",10.00510000000,"2019-09-05","2019-09-05"
"K2-4 b","K2-4 b","EPIC 201208431",0,"CONFIRMED","Montet et al. 2015","1",10.00361000000,"2015-12-05","2015-12-05"
"K2-4 b","K2-4 b","EPIC 201208431",0,"CONFIRMED","Montet et al. 2015","1",10.00617969000,"2016-12-21","2016-12-21"
"K2-244 b","K2-244 b","EPIC 201211526",1,"CONFIRMED","Livingston et al. 2018","10",21.06884000000,"2022-03-28","2022-03-28"
"K2-244 b","K2-244 b","EPIC 201211526",0,"CONFIRMED","Livingston et al. 2018","10",21.07020100000,"2018-02-15","2018-02-15"
"K2-159 b","K2-159 b","EPIC 201225286",1,"CONFIRMED","Mayo et al. 2018","10",12.42205000000,"2022-03-28","2022-03-28"
"K2-159 b","K2-159 b","EPIC 201225286",0,"CONFIRMED","Mayo et al. 2018","10",12.42107800000,"2018-07-12","2018-02-15"
"K2-160 b","K2-160 b","EPIC 201227197",1,"CONFIRMED","Mayo et al. 2018","10",3.70587100000,"2018-02-14","2018-02-15"
"K2-161 b","K2-161 b","EPIC 201231064",1,"CONFIRMED","Mayo et al. 2018","10",9.28318800000,"2018-02-14","2018-02-15"
"EPIC 201231940.01",,"EPIC 201231940",1,"CANDIDATE","Vanderburg et al. 2016","1",0.57303573000,"2015-12-05","2015-12-05"
"EPIC 201238110 b","K2-296 b","EPIC 201238110",1,"CONFIRMED","Heller et al. 2019","1",28.16560000000,"2019-06-03","2019-06-13"
"EPIC 201238110 b","K2-296 b","EPIC 201238110",0,"CONFIRMED","Heller et al. 2019","1",28.16960000000,"2019-09-05","2019-09-05"
"EPIC 201238110.01",,"EPIC 201238110",1,"CANDIDATE","Kruse et al. 2019","1",7.90417000000,"2019-09-05","2019-09-05"
"EPIC 201238110.01",,"EPIC 201238110",0,"CANDIDATE","Kruse et al. 2019","1",7.90696060000,"2015-12-05","2015-12-05"
"EPIC 201238163.01",,"EPIC 201238163",1,"CANDIDATE","Vanderburg et al. 2016","1",1.08296140000,"2015-12-05","2015-12-05"
"EPIC 201239401.01",,"EPIC 201239401",1,"CANDIDATE","Kruse et al. 2019","1",0.90565500000,"2019-09-05","2019-09-05"
"EPIC 201239401.01",,"EPIC 201239401",0,"CANDIDATE","Kruse et al. 2019","1",0.90552205000,"2015-12-05","2015-12-05"
"EPIC 201247497.01",,"EPIC 201247497",1,"CANDIDATE","Kruse et al. 2019","1",2.75421000000,"2019-09-05","2019-09-05"
"EPIC 201247497.01",,"EPIC 201247497",0,"CANDIDATE","Kruse et al. 2019","1",2.75391000000,"2016-07-18","2016-07-18"
"EPIC 201247497.01",,"EPIC 201247497",0,"CANDIDATE","Kruse et al. 2019","1",2.75411290000,"2015-12-05","2015-12-05"
"EPIC 201257461.01",,"EPIC 201257461",1,"FALSE POSITIVE","Montet et al. 2015","1",50.28586900000,"2015-12-05","2015-12-05"
"EPIC 201257461.01",,"EPIC 201257461",0,"FALSE POSITIVE","Montet et al. 2015","1",50.27762000000,"2015-12-05","2015-12-05"
"EPIC 201258341.01",,"EPIC 201258341",1,"CANDIDATE","Kruse et al. 2019","1",10.50439000000,"2019-09-05","2019-09-05"
"EPIC 201259803.01",,"EPIC 201259803",1,"CANDIDATE","Kruse et al. 2019","1",1.68420800000,"2019-09-05","2019-09-05"
"EPIC 201264302.01",,"EPIC 201264302",1,"CANDIDATE","Kruse et al. 2019","1",0.21220130000,"2019-09-05","2019-09-05"
"EPIC 201264302.01",,"EPIC 201264302",0,"CANDIDATE","Kruse et al. 2019","1",0.21219899000,"2015-12-05","2015-12-05"
"EPIC 201264302.01",,"EPIC 201264302",0,"CANDIDATE","Kruse et al. 2019","1",0.21219400000,"2016-06-09","2016-06-09"
"EPIC 201270176.01",,"EPIC 201270176",1,"CANDIDATE","Barros et al. 2016","1",1.57771549000,"2016-12-21","2016-12-21"
"EPIC 201270176.01",,"EPIC 201270176",0,"CANDIDATE","Barros et al. 2016","1",1.57786430000,"2015-12-05","2015-12-05"
"EPIC 201270464.01",,"EPIC 201270464",1,"CANDIDATE","Barros et al. 2016","1",1.57771549000,"2016-12-21","2016-12-21"
"EPIC 201274010.01",,"EPIC 201274010",1,"CANDIDATE","Livingston et al. 2018","10",13.01130000000,"2018-08-02","2018-08-02"
"EPIC 201291843.01",,"EPIC 201291843",1,"CANDIDATE","Barros et al. 2016","1",40.70206194000,"2016-12-21","2016-12-21"
"K2-44 b","K2-44 b","EPIC 201295312",1,"CONFIRMED","Crossfield et al. 2016","1",5.65700000000,"2020-11-13","2020-11-19"
"K2-44 b","K2-44 b","EPIC 201295312",0,"CONFIRMED","Crossfield et al. 2016","1",5.65688000000,"2020-11-13","2016-07-18"
"K2-44 b","K2-44 b","EPIC 201295312",0,"CONFIRMED","Crossfield et al. 2016","1",5.65621000000,"2019-09-05","2019-09-05"
"K2-44 b","K2-44 b","EPIC 201295312",0,"CONFIRMED","Crossfield et al. 2016","1",5.65706000000,"2015-12-05","2015-12-05"
"K2-44 b","K2-44 b","EPIC 201295312",0,"CONFIRMED","Crossfield et al. 2016","1",5.65630400000,"2020-11-13","2018-02-15"
"K2-44 b","K2-44 b","EPIC 201295312",0,"CONFIRMED","Crossfield et al. 2016","1",5.65625600000,"2015-12-05","2015-12-05"
"EPIC 201299088.01",,"EPIC 201299088",1,"CANDIDATE","Mayo et al. 2018","10",21.20473900000,"2018-02-15","2018-02-15"
"EPIC 201324549.01",,"EPIC 201324549",1,"FALSE POSITIVE","Crossfield et al. 2016","1",2.51938600000,"2019-09-05","2019-09-05"
"EPIC 201324549.01",,"EPIC 201324549",0,"FALSE POSITIVE","Crossfield et al. 2016","1",2.51940390000,"2024-02-05","2024-02-05"
"EPIC 201324549.01",,"EPIC 201324549",0,"FALSE POSITIVE","Crossfield et al. 2016","1",2.51881781000,"2016-12-21","2016-12-21"
"EPIC 201324549.01",,"EPIC 201324549",0,"FALSE POSITIVE","Crossfield et al. 2016","1",2.51940780000,"2015-12-05","2015-12-05"
"EPIC 201324549.01",,"EPIC 201324549",0,"FALSE POSITIVE","Crossfield et al. 2016","1",2.51933400000,"2016-07-18","2016-07-18"
"K2-5 b","K2-5 b","EPIC 201338508",1,"CONFIRMED","Montet et al. 2015","1",5.73594000000,"2016-07-06","2016-07-07"
"K2-5 b","K2-5 b","EPIC 201338508",0,"CONFIRMED","Montet et al. 2015","1",5.73484620000,"2015-12-05","2015-12-05"
"K2-5 b","K2-5 b","EPIC 201338508",0,"CONFIRMED","Montet et al. 2015","1",5.73649000000,"2019-09-05","2019-09-05"
"K2-5 b","K2-5 b","EPIC 201338508",0,"CONFIRMED","Montet et al. 2015","1",5.73491000000,"2016-07-06","2015-07-16"
"K2-5 b","K2-5 b","EPIC 201338508",0,"CONFIRMED","Montet et al. 2015","1",5.73597000000,"2016-07-14","2016-07-18"
"K2-5 c","K2-5 c","EPIC 201338508",1,"CONFIRMED","Montet et al. 2015","1",10.93241000000,"2016-07-06","2016-07-07"
"K2-5 c","K2-5 c","EPIC 201338508",0,"CONFIRMED","Montet et al. 2015","1",10.93240000000,"2016-07-14","2016-07-18"
"K2-5 c","K2-5 c","EPIC 201338508",0,"CONFIRMED","Montet et al. 2015","1",10.93459000000,"2019-09-05","2019-09-05"
"K2-5 c","K2-5 c","EPIC 201338508",0,"CONFIRMED","Montet et al. 2015","1",10.93406000000,"2016-07-06","2015-07-16"
"K2-45 b","K2-45 b","EPIC 201345483",1,"CONFIRMED","Crossfield et al. 2016","1",1.72926840000,"2016-07-14","2016-07-18"
"K2-45 b","K2-45 b","EPIC 201345483",0,"CONFIRMED","Crossfield et al. 2016","1",1.72925770000,"2019-09-05","2019-09-05"
"K2-45 b","K2-45 b","EPIC 201345483",0,"CONFIRMED","Crossfield et al. 2016","1",1.72925910000,"2015-12-05","2015-12-05"
"K2-45 b","K2-45 b","EPIC 201345483",0,"CONFIRMED","Crossfield et al. 2016","1",1.72926812424,"2024-12-10","2024-12-10"
"K2-45 b","K2-45 b","EPIC 201345483",0,"CONFIRMED","Crossfield et al. 2016","1",1.72925700000,"2017-10-23","2017-10-26"
"EPIC 201352100.01",,"EPIC 201352100",1,"CANDIDATE","Livingston et al. 2018","10",13.38382000000,"2018-08-02","2018-08-02"
"EPIC 201352100.01",,"EPIC 201352100",0,"CANDIDATE","Livingston et al. 2018","10",13.38362900000,"2018-02-15","2018-02-15"
"K2-245 b","K2-245 b","EPIC 201357643",1,"CONFIRMED","Livingston et al. 2018","10",11.89307000000,"2022-03-28","2022-03-28"
"K2-245 b","K2-245 b","EPIC 201357643",0,"CONFIRMED","Livingston et al. 2018","10",11.89376000000,"2025-09-17","2025-09-17"
"EPIC 201357835.01",,"EPIC 201357835",1,"CANDIDATE","Zink et al. 2019","10",11.89510000000,"2019-09-19","2019-09-19"
"EPIC 201359834.01",,"EPIC 201359834",1,"CANDIDATE","Kruse et al. 2019","1",40.14010000000,"2019-09-05","2019-09-05"
"EPIC 201366540.01",,"EPIC 201366540",1,"CANDIDATE","Kruse et al. 2019","1",7.44330000000,"2019-09-05","2019-09-05"
"K2-3 b","K2-3 b","EPIC 201367065",1,"CONFIRMED","Crossfield et al. 2015","1",10.05465350000,"2023-07-10","2023-07-10"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05462600000,"2023-04-17","2023-04-17"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05448000000,"2020-05-04","2015-07-16"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05467000000,"2019-09-05","2019-09-05"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05443000000,"2020-05-04","2016-07-18"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05462600000,"2020-05-04","2020-05-07"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05454400000,"2020-05-04","2016-03-24"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05437400000,"2015-12-05","2015-12-05"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05462600000,"2025-09-17","2025-09-17"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05403000000,"2020-05-04","2015-02-26"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05449000000,"2020-05-04","2016-07-07"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05176778000,"2016-12-21","2016-12-21"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05429000000,"2020-05-04","2015-10-15"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05403000000,"2020-05-04","2016-05-05"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05460031054,"2024-12-10","2024-12-10"
"K2-3 b","K2-3 b","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",10.05454000000,"2020-05-04","2020-05-07"
"K2-3 c","K2-3 c","EPIC 201367065",1,"CONFIRMED","Crossfield et al. 2015","1",24.64672900000,"2023-07-10","2023-07-10"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64910000000,"2020-05-04","2015-10-15"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64540000000,"2020-05-04","2016-05-05"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64638000000,"2020-05-04","2020-05-07"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64350000000,"2020-05-04","2016-07-18"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64671000000,"2019-09-05","2019-09-05"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64658200000,"2020-05-04","2020-05-07"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64501300000,"2015-12-05","2015-12-05"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64638000000,"2020-05-04","2016-03-24"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64658200000,"2023-04-17","2023-04-17"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64745000000,"2020-05-04","2015-07-16"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64354000000,"2020-05-04","2016-07-07"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64540000000,"2020-05-04","2015-02-26"
"K2-3 c","K2-3 c","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",24.64658200000,"2025-09-17","2025-09-17"
"K2-3 d","K2-3 d","EPIC 201367065",1,"CONFIRMED","Crossfield et al. 2015","1",44.55603000000,"2023-07-10","2023-07-10"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.56090000000,"2020-05-04","2016-07-18"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.55765000000,"2020-05-04","2016-03-24"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.55740000000,"2019-09-05","2019-09-05"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.55764000000,"2020-05-04","2020-05-07"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.56310000000,"2020-05-04","2015-02-26"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.57050000000,"2020-05-04","2015-10-15"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.55645600000,"2025-09-17","2025-09-17"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.55645600000,"2023-04-17","2023-04-17"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.55983000000,"2020-05-04","2016-07-07"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.55612000000,"2020-05-04","2016-10-13"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.55646000000,"2021-10-25","2021-10-25"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.56310000000,"2020-05-04","2016-05-05"
"K2-3 d","K2-3 d","EPIC 201367065",0,"CONFIRMED","Crossfield et al. 2015","1",44.56115000000,"2015-12-05","2015-12-05"
"K2-6 b","K2-6 b","EPIC 201384232",1,"CONFIRMED","Montet et al. 2015","1",30.94191000000,"2015-07-13","2015-07-16"
"K2-6 b","K2-6 b","EPIC 201384232",0,"CONFIRMED","Montet et al. 2015","1",30.93490000000,"2016-07-14","2016-07-18"
"K2-6 b","K2-6 b","EPIC 201384232",0,"CONFIRMED","Montet et al. 2015","1",30.94464800000,"2015-12-05","2015-12-05"
"K2-6 b","K2-6 b","EPIC 201384232",0,"CONFIRMED","Montet et al. 2015","1",30.94459300000,"2018-02-14","2018-02-15"
"K2-6 b","K2-6 b","EPIC 201384232",0,"CONFIRMED","Montet et al. 2015","1",30.94030000000,"2019-09-05","2019-09-05"
"K2-246 b","K2-246 b","EPIC 201386739",1,"CONFIRMED","Livingston et al. 2018","10",5.76918000000,"2022-03-28","2022-03-28"
"K2-162 b","K2-162 b","EPIC 201390048",1,"CONFIRMED","Mayo et al. 2018","10",9.45889000000,"2022-06-08","2022-06-08"
"K2-162 b","K2-162 b","EPIC 201390048",0,"CONFIRMED","Mayo et al. 2018","10",9.45774700000,"2018-07-12","2018-02-15"
"EPIC 201390927.01",,"EPIC 201390927",1,"CANDIDATE","Livingston et al. 2018","10",2.63800000000,"2018-08-02","2018-08-02"
"EPIC 201392505.01",,"EPIC 201392505",1,"CANDIDATE","Livingston et al. 2018","10",27.47083000000,"2018-08-02","2018-08-02"
"K2-7 b","K2-7 b","EPIC 201393098",1,"CONFIRMED","Montet et al. 2015","1",28.67810000000,"2024-11-20","2024-11-20"
"K2-7 b","K2-7 b","EPIC 201393098",0,"CONFIRMED","Montet et al. 2015","1",28.67992000000,"2015-07-13","2015-07-16"
"K2-7 b","K2-7 b","EPIC 201393098",0,"CONFIRMED","Montet et al. 2015","1",28.67770000000,"2016-07-14","2016-07-18"
"K2-7 b","K2-7 b","EPIC 201393098",0,"CONFIRMED","Montet et al. 2015","1",28.69110000000,"2019-09-05","2019-09-05"
"K2-46 b","K2-46 b","EPIC 201403446",1,"CONFIRMED","Crossfield et al. 2016","1",19.15410000000,"2016-07-14","2016-07-18"
"K2-46 b","K2-46 b","EPIC 201403446",0,"CONFIRMED","Crossfield et al. 2016","1",19.15454000000,"2018-02-14","2018-02-15"
"K2-46 b","K2-46 b","EPIC 201403446",0,"CONFIRMED","Crossfield et al. 2016","1",19.15376500000,"2015-12-05","2015-12-05"
"K2-46 b","K2-46 b","EPIC 201403446",0,"CONFIRMED","Crossfield et al. 2016","1",19.15300000000,"2019-09-05","2019-09-05"
"K2-46 b","K2-46 b","EPIC 201403446",0,"CONFIRMED","Crossfield et al. 2016","1",19.15344000000,"2015-12-05","2015-12-05"
"EPIC 201407812.01",,"EPIC 201407812",1,"CANDIDATE","Vanderburg et al. 2016","1",2.82681210000,"2015-12-05","2015-12-05"
"EPIC 201427007 b","K2-359 b","EPIC 201427007",1,"CONFIRMED","Adams et al. 2021","10",0.72091000000,"2021-10-25","2021-10-25"
"K2-163 b","K2-163 b","EPIC 201427874",1,"CONFIRMED","Mayo et al. 2018","10",6.67311700000,"2018-02-14","2018-02-15"
"HD 106315 b","K2-109 b","EPIC 201437844",1,"CONFIRMED","Crossfield et al. 2017","10",9.55237000000,"2019-07-19","2019-07-25"
"HD 106315 b","K2-109 b","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",9.58028883839,"2025-10-30","2025-10-30"
"HD 106315 b","K2-109 b","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",9.55210000000,"2019-07-19","2017-09-15"
"HD 106315 b","K2-109 b","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",9.55210500000,"2026-01-29","2026-01-29"
"HD 106315 b","K2-109 b","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",9.55385000000,"2019-07-19","2017-09-28"
"HD 106315 b","K2-109 b","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",9.55804000000,"2022-03-28","2022-03-28"
"HD 106315 b","K2-109 b","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",9.55451500000,"2019-07-19","2018-02-15"
"HD 106315 b","K2-109 b","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",9.55288000000,"2025-09-17","2025-09-17"
"HD 106315 b","K2-109 b","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",9.55287000000,"2024-12-10","2024-12-10"
"HD 106315 c","K2-109 c","EPIC 201437844",1,"CONFIRMED","Crossfield et al. 2017","10",21.05704000000,"2019-07-19","2019-07-25"
"HD 106315 c","K2-109 c","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",1221.27097726164,"2025-10-30","2025-10-30"
"HD 106315 c","K2-109 c","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",21.05731000000,"2024-04-19","2024-04-19"
"HD 106315 c","K2-109 c","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",21.05683000000,"2019-07-19","2017-09-28"
"HD 106315 c","K2-109 c","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",21.05788000000,"2022-03-28","2022-03-28"
"HD 106315 c","K2-109 c","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",21.05603000000,"2019-08-09","2019-08-15"
"HD 106315 c","K2-109 c","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",21.05800000000,"2019-07-19","2017-09-28"
"HD 106315 c","K2-109 c","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",21.05750400000,"2019-07-19","2018-02-15"
"HD 106315 c","K2-109 c","EPIC 201437844",0,"CONFIRMED","Crossfield et al. 2017","10",21.05661400000,"2024-03-04","2024-03-04"
