pl_name,k2_name,epic_hostname,default_flag,disposition,disp_refname,k2_campaigns,pl_orbper,rowupdate,releasedate
"K2-394 b","K2-394 b","EPIC 246876040",0,"CONFIRMED","Christiansen et al. 2022","13",5.09582000000,"2019-09-19","2019-09-19"
"K2-395 b","K2-395 b","EPIC 246891819",1,"CONFIRMED","Christiansen et al. 2022","13",4.80335200000,"2022-03-16","2022-03-16"
"K2-395 b","K2-395 b","EPIC 246891819",0,"CONFIRMED","Christiansen et al. 2022","13",4.80335200000,"2021-11-19","2021-11-19"
"K2-395 c","K2-395 c","EPIC 246891819",1,"CONFIRMED","Christiansen et al. 2022","13",8.49128200000,"2022-03-16","2022-03-16"
"K2-395 c","K2-395 c","EPIC 246891819",0,"CONFIRMED","Christiansen et al. 2022","13",8.49128200000,"2021-11-19","2021-11-19"
"EPIC 246899433.01",,"EPIC 246899433",1,"CANDIDATE","Zink et al. 2021","13",13.10789400000,"2021-11-19","2021-11-19"
"EPIC 246909566.01",,"EPIC 246909566",1,"CANDIDATE","Castro Gonz&aacute;lez et al. 2020","13",1.92500000000,"2022-03-28","2022-03-28"
"K2-260 b","K2-260 b","EPIC 246911830",1,"CONFIRMED","Johnson et al. 2018","13",2.62669762000,"2024-11-20","2024-11-20"
"K2-260 b","K2-260 b","EPIC 246911830",0,"CONFIRMED","Johnson et al. 2018","13",2.62669830000,"2024-01-22","2024-01-22"
"K2-260 b","K2-260 b","EPIC 246911830",0,"CONFIRMED","Johnson et al. 2018","13",2.62669768000,"2024-03-04","2024-03-04"
"K2-260 b","K2-260 b","EPIC 246911830",0,"CONFIRMED","Johnson et al. 2018","13",2.62666580000,"2022-05-03","2022-05-03"
"K2-260 b","K2-260 b","EPIC 246911830",0,"CONFIRMED","Johnson et al. 2018","13",2.62669740000,"2022-01-24","2022-01-24"
"K2-260 b","K2-260 b","EPIC 246911830",0,"CONFIRMED","Johnson et al. 2018","13",2.62666570000,"2018-08-14","2018-08-16"
"EPIC 246920193.01",,"EPIC 246920193",1,"CANDIDATE","Zink et al. 2019","13",10.19970000000,"2019-09-19","2019-09-19"
"EPIC 246947582.01",,"EPIC 246947582",1,"CANDIDATE","Zink et al. 2021","13",21.37137200000,"2021-11-19","2021-11-19"
"K2-396 b","K2-396 b","EPIC 246953392",1,"CONFIRMED","Christiansen et al. 2022","13",0.67386200000,"2022-03-16","2022-03-16"
"K2-396 b","K2-396 b","EPIC 246953392",0,"CONFIRMED","Christiansen et al. 2022","13",0.67386200000,"2021-11-19","2021-11-19"
"K2-396 c","K2-396 c","EPIC 246953392",1,"CONFIRMED","Christiansen et al. 2022","13",25.76051000000,"2022-03-16","2022-03-16"
"EPIC 246987084.01",,"EPIC 246987084",1,"CANDIDATE","Zink et al. 2021","13",7.09869500000,"2021-11-19","2021-11-19"
"EPIC 247047370.01",,"EPIC 247047370",1,"CANDIDATE","Zink et al. 2019","13",4.20566000000,"2019-09-19","2019-09-19"
"EPIC 247047370.01",,"EPIC 247047370",0,"CANDIDATE","Zink et al. 2019","13",4.20507412692,"2024-01-22","2024-01-22"
"EPIC 247063356.01",,"EPIC 247063356",1,"CANDIDATE","Zink et al. 2019","13",9.70510000000,"2019-09-19","2019-09-19"
"K2-232 b","K2-232 b","EPIC 247098361",1,"CONFIRMED","Brahm et al. 2018","13",11.16845400000,"2018-04-04","2018-04-05"
"K2-232 b","K2-232 b","EPIC 247098361",0,"CONFIRMED","Brahm et al. 2018","13",11.16840370000,"2024-01-22","2024-01-22"
"K2-232 b","K2-232 b","EPIC 247098361",0,"CONFIRMED","Brahm et al. 2018","13",11.16844233000,"2024-03-04","2024-03-04"
"K2-232 b","K2-232 b","EPIC 247098361",0,"CONFIRMED","Brahm et al. 2018","13",11.16845900000,"2018-08-21","2018-08-23"
"EPIC 247122439.01",,"EPIC 247122439",1,"CANDIDATE","Zink et al. 2021","13",0.73217000000,"2021-11-19","2021-11-19"
"EPIC 247164043.01",,"EPIC 247164043",1,"CANDIDATE","Zink et al. 2021","13",5.22835200000,"2021-11-19","2021-11-19"
"EPIC 247164043.01",,"EPIC 247164043",0,"CANDIDATE","Zink et al. 2021","13",5.22898740000,"2022-08-09","2022-08-09"
"EPIC 247223703.01",,"EPIC 247223703",1,"CANDIDATE","del Ser et al. 2023","13",3.17640000000,"2022-11-07","2022-11-07"
"EPIC 247226616.01",,"EPIC 247226616",1,"CANDIDATE","Zink et al. 2021","13",2.41947200000,"2021-11-19","2021-11-19"
"K2-284 b","K2-284 b","EPIC 247267267",1,"CONFIRMED","David et al. 2018","13",4.79506900000,"2018-11-12","2018-11-15"
"K2-284 b","K2-284 b","EPIC 247267267",0,"CONFIRMED","David et al. 2018","13",4.79485990000,"2024-03-04","2024-03-04"
"K2-284 b","K2-284 b","EPIC 247267267",0,"CONFIRMED","David et al. 2018","13",4.79450362255,"2026-04-23","2026-04-23"
"K2-284 b","K2-284 b","EPIC 247267267",0,"CONFIRMED","David et al. 2018","13",4.79486420000,"2024-01-22","2024-01-22"
"EPIC 247281516.01",,"EPIC 247281516",1,"CANDIDATE","Zink et al. 2021","13",6.77083400000,"2021-11-19","2021-11-19"
"K2-397 b","K2-397 b","EPIC 247383003",1,"CONFIRMED","Christiansen et al. 2022","13",3.57232600000,"2022-03-16","2022-03-16"
"K2-397 b","K2-397 b","EPIC 247383003",0,"CONFIRMED","Christiansen et al. 2022","13",3.57232600000,"2021-11-19","2021-11-19"
"EPIC 247396991.01",,"EPIC 247396991",1,"CANDIDATE","Zink et al. 2021","13",14.61678300000,"2021-11-19","2021-11-19"
"K2-291 b","K2-291 b","EPIC 247418783",1,"CONFIRMED","Kosiarek et al. 2019","13",2.22517700000,"2019-01-22","2019-01-24"
"K2-291 b","K2-291 b","EPIC 247418783",0,"CONFIRMED","Kosiarek et al. 2019","13",2.22500000000,"2019-08-23","2019-08-29"
"K2-291 b","K2-291 b","EPIC 247418783",0,"CONFIRMED","Kosiarek et al. 2019","13",2.22516390000,"2024-05-08","2024-05-08"
"K2-291 b","K2-291 b","EPIC 247418783",0,"CONFIRMED","Kosiarek et al. 2019","13",2.22517700000,"2025-09-17","2025-09-17"
"K2-412 b","K2-412 b","EPIC 247422570",1,"CONFIRMED","del Ser et al. 2023","13",5.93820000000,"2022-11-07","2022-11-07"
"EPIC 247445728.01",,"EPIC 247445728",1,"CANDIDATE","Zink et al. 2019","13",13.75790000000,"2019-09-19","2019-09-19"
"EPIC 247560727.01",,"EPIC 247560727",1,"CANDIDATE","del Ser et al. 2023","13",3.37330000000,"2022-11-07","2022-11-07"
"EPIC 247560727.02",,"EPIC 247560727",1,"CANDIDATE","del Ser et al. 2023","13",8.43560000000,"2022-11-07","2022-11-07"
"EPIC 247562358.01",,"EPIC 247562358",1,"CANDIDATE","Zink et al. 2021","13",3.09246000000,"2021-11-19","2021-11-19"
"K2-136 b","K2-136 b","EPIC 247589423",1,"CONFIRMED","Mann et al. 2018","13",7.97525000000,"2026-07-02","2023-04-10"
"K2-136 b","K2-136 b","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",7.97529200000,"2017-11-09","2017-11-09"
"K2-136 b","K2-136 b","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",7.97570000000,"2018-12-17","2018-12-19"
"K2-136 c","K2-136 c","EPIC 247589423",1,"CONFIRMED","Mann et al. 2018","13",17.30723000000,"2026-07-02","2023-04-10"
"K2-136 c","K2-136 c","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",17.30701300000,"2024-03-04","2024-03-04"
"K2-136 c","K2-136 c","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",17.30770000000,"2017-11-09","2017-11-09"
"K2-136 c","K2-136 c","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",17.30681000000,"2018-12-17","2018-12-19"
"K2-136 c","K2-136 c","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",17.30706310000,"2024-07-23","2024-07-23"
"K2-136 c","K2-136 c","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",17.30713700000,"2017-11-09","2017-11-09"
"K2-136 d","K2-136 d","EPIC 247589423",1,"CONFIRMED","Mann et al. 2018","13",25.57500000000,"2026-07-02","2023-04-10"
"K2-136 d","K2-136 d","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",25.57506500000,"2017-11-09","2017-11-09"
"K2-136 d","K2-136 d","EPIC 247589423",0,"CONFIRMED","Mann et al. 2018","13",25.57150000000,"2018-12-17","2018-12-19"
"EPIC 247698108.01",,"EPIC 247698108",1,"CANDIDATE","Zink et al. 2021","13",20.37943400000,"2021-11-19","2021-11-19"
"EPIC 247708770.01",,"EPIC 247708770",1,"CANDIDATE","Zink et al. 2021","13",4.42039400000,"2021-11-19","2021-11-19"
"EPIC 247724061.01",,"EPIC 247724061",1,"CANDIDATE","Zink et al. 2021","13",1.24890500000,"2021-11-19","2021-11-19"
"EPIC 247744801.01",,"EPIC 247744801",1,"CANDIDATE","del Ser et al. 2023","13",12.50500000000,"2022-11-07","2022-11-07"
"EPIC 247856284.01",,"EPIC 247856284",1,"CANDIDATE","Zink et al. 2021","13",11.95706000000,"2021-11-19","2021-11-19"
"EPIC 247874191.01",,"EPIC 247874191",1,"CANDIDATE","del Ser et al. 2023","13",7.62400000000,"2022-11-07","2022-11-07"
"EPIC 247885088.01",,"EPIC 247885088",1,"CANDIDATE","Zink et al. 2021","13",6.36330200000,"2021-11-19","2021-11-19"
"K2-133 b","K2-133 b","EPIC 247887989",1,"CONFIRMED","Wells et al. 2018","13",3.07133000000,"2019-05-20","2019-05-23"
"K2-133 b","K2-133 b","EPIC 247887989",0,"CONFIRMED","Wells et al. 2018","13",3.07120000000,"2019-05-20","2017-10-26"
"K2-133 c","K2-133 c","EPIC 247887989",1,"CONFIRMED","Wells et al. 2018","13",4.86784000000,"2019-05-20","2019-05-23"
"K2-133 c","K2-133 c","EPIC 247887989",0,"CONFIRMED","Wells et al. 2018","13",4.86820000000,"2019-05-20","2017-10-26"
"K2-133 d","K2-133 d","EPIC 247887989",1,"CONFIRMED","Wells et al. 2018","13",11.02454000000,"2019-05-20","2019-05-23"
"K2-133 d","K2-133 d","EPIC 247887989",0,"CONFIRMED","Wells et al. 2018","13",11.02340000000,"2019-05-20","2017-10-26"
"K2-133 d","K2-133 d","EPIC 247887989",0,"CONFIRMED","Wells et al. 2018","13",11.02488210000,"2024-01-22","2024-01-22"
"K2-133 e","K2-133 e","EPIC 247887989",1,"CONFIRMED","Wells et al. 2019","13",26.58410000000,"2019-05-20","2019-05-23"
