corrected_physical_class,campaign,total_unique_epic_hosts,physical_loss_eligible_hosts,accessible_local_light_curves,accessible_512_sample_tensors,existing_cnn_probabilities,existing_128d_embeddings,nominal_numerical_diagnostics,p_half_p_2p_diagnostics,trusted_periods,fallback_or_missing_periods,cross_class_conflicts,missing_feature_patterns_json
candidate_like,7,82,82,4,0,0,0,0,0,0,82,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":4,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":78}"
candidate_like,8,79,79,0,0,0,0,0,0,0,79,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":79}"
candidate_like,unknown,1,1,0,0,0,0,0,0,0,1,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1}"
confirmed_planet,-1,2,2,0,0,0,0,0,0,0,2,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2}"
confirmed_planet,0,3,3,0,0,0,0,0,0,0,3,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":3}"
confirmed_planet,1,37,37,1,0,0,0,0,0,0,37,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":36}"
confirmed_planet,10,49,49,6,0,0,0,0,0,0,49,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":6,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":43}"
confirmed_planet,11,1,1,0,0,0,0,0,0,0,1,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1}"
confirmed_planet,12,22,22,0,0,0,0,0,0,0,22,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":22}"
confirmed_planet,13,16,16,2,0,0,0,0,0,0,16,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":14}"
confirmed_planet,14,18,18,1,0,0,0,0,0,0,18,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":17}"
confirmed_planet,15,16,16,1,0,0,0,0,0,0,16,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":15}"
confirmed_planet,16,37,37,23,23,0,0,0,0,0,37,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":14,""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":23}"
confirmed_planet,17,25,25,4,0,0,0,0,0,0,25,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":4,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":21}"
confirmed_planet,18,63,63,58,58,0,0,0,0,0,63,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":5,""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":58}"
confirmed_planet,2,11,11,3,0,0,0,0,0,0,11,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":3,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":8}"
confirmed_planet,3,41,41,2,0,0,0,0,0,0,41,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":39}"
confirmed_planet,4,28,28,0,0,0,0,0,0,0,28,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":28}"
confirmed_planet,5,61,61,61,61,0,0,0,0,0,61,0,"{""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":61}"
confirmed_planet,6,35,35,6,0,0,0,0,0,0,35,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":6,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":29}"
confirmed_planet,7,18,18,2,0,0,0,0,0,0,18,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":16}"
confirmed_planet,8,37,37,2,0,0,0,0,0,0,37,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":35}"
confirmed_planet,unknown,2,2,0,0,0,0,0,0,0,2,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2}"
cross_class_conflict,16,6,0,6,6,6,6,5,0,0,6,6,"{""nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""p_half_p_2p_diagnostics+trusted_period"":5}"
cross_class_conflict,18,8,0,8,8,8,8,7,0,0,8,8,"{""nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""p_half_p_2p_diagnostics+trusted_period"":7}"
cross_class_conflict,2,1,0,0,0,0,0,0,0,0,1,1,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1}"
cross_class_conflict,5,10,0,10,10,10,10,8,0,0,10,10,"{""nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""p_half_p_2p_diagnostics+trusted_period"":8}"
false_positive_eb_or_variable,0,5,5,0,0,0,0,0,0,0,5,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":5}"
false_positive_eb_or_variable,1,8,8,2,0,0,0,0,0,0,8,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":6}"
false_positive_eb_or_variable,10,2,2,1,0,0,0,0,0,0,2,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1}"
false_positive_eb_or_variable,12,3,3,0,0,0,0,0,0,0,3,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":3}"
false_positive_eb_or_variable,13,1,1,0,0,0,0,0,0,0,1,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1}"
false_positive_eb_or_variable,14,1,1,0,0,0,0,0,0,0,1,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1}"
false_positive_eb_or_variable,15,2,2,0,0,0,0,0,0,0,2,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2}"
false_positive_eb_or_variable,16,165,165,106,45,6,6,4,2,1,164,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":61,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":59,""complete"":1,""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":39,""nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""p_half_p_2p_diagnostics+trusted_period"":2,""trusted_period"":1}"
