feature,normalized_label,rows,missing_count,missing_fraction
p_half_secondary_to_primary_depth_ratio,false_positive_eb_or_variable,85,85,1.0
p_half_secondary_to_primary_depth_ratio,reject_as_noise_or_artifact,174,174,1.0
p_half_event_stack_coherence_score,candidate_like,9,0,0.0
p_half_event_stack_coherence_score,false_positive_eb_or_variable,85,85,1.0
p_half_event_stack_coherence_score,reject_as_noise_or_artifact,174,174,1.0
p_half_event_timing_rms_phase,candidate_like,9,0,0.0
p_half_event_timing_rms_phase,false_positive_eb_or_variable,85,85,1.0
p_half_event_timing_rms_phase,reject_as_noise_or_artifact,174,174,1.0
p_half_event_epoch_coverage,candidate_like,9,0,0.0
p_half_event_epoch_coverage,false_positive_eb_or_variable,85,85,1.0
p_half_event_epoch_coverage,reject_as_noise_or_artifact,174,174,1.0
p_half_event_depth_mad_fraction,candidate_like,9,0,0.0
p_half_event_depth_mad_fraction,false_positive_eb_or_variable,85,85,1.0
p_half_event_depth_mad_fraction,reject_as_noise_or_artifact,174,174,1.0
p_half_local_baseline_event_count,candidate_like,9,0,0.0
p_half_local_baseline_event_count,false_positive_eb_or_variable,85,85,1.0
p_half_local_baseline_event_count,reject_as_noise_or_artifact,174,174,1.0
p_half_median_abs_baseline_slope_per_day,candidate_like,9,0,0.0
p_half_median_abs_baseline_slope_per_day,false_positive_eb_or_variable,85,85,1.0
p_half_median_abs_baseline_slope_per_day,reject_as_noise_or_artifact,174,174,1.0
p_half_median_abs_left_right_offset,candidate_like,9,0,0.0
p_half_median_abs_left_right_offset,false_positive_eb_or_variable,85,85,1.0
p_half_median_abs_left_right_offset,reject_as_noise_or_artifact,174,174,1.0
p_half_both_sidebands_fraction,candidate_like,9,0,0.0
p_half_both_sidebands_fraction,false_positive_eb_or_variable,85,85,1.0
p_half_both_sidebands_fraction,reject_as_noise_or_artifact,174,174,1.0
p_half_baseline_slope_depth_fraction,candidate_like,9,0,0.0
p_half_baseline_slope_depth_fraction,false_positive_eb_or_variable,85,85,1.0
p_half_baseline_slope_depth_fraction,reject_as_noise_or_artifact,174,174,1.0
p_half_baseline_offset_depth_fraction,candidate_like,9,0,0.0
p_half_baseline_offset_depth_fraction,false_positive_eb_or_variable,85,85,1.0
p_half_baseline_offset_depth_fraction,reject_as_noise_or_artifact,174,174,1.0
p_period_days,candidate_like,9,0,0.0
p_period_days,false_positive_eb_or_variable,85,85,1.0
p_period_days,reject_as_noise_or_artifact,174,174,1.0
p_cluster_center_phase,candidate_like,9,0,0.0
p_cluster_center_phase,false_positive_eb_or_variable,85,85,1.0
p_cluster_center_phase,reject_as_noise_or_artifact,174,174,1.0
p_event_support_count,candidate_like,9,0,0.0
p_event_support_count,false_positive_eb_or_variable,85,85,1.0
p_event_support_count,reject_as_noise_or_artifact,174,174,1.0
p_event_family_count,candidate_like,9,0,0.0
p_event_family_count,false_positive_eb_or_variable,85,85,1.0
p_event_family_count,reject_as_noise_or_artifact,174,174,1.0
p_primary_depth,candidate_like,9,0,0.0
p_primary_depth,false_positive_eb_or_variable,85,85,1.0
p_primary_depth,reject_as_noise_or_artifact,174,174,1.0
p_primary_depth_snr,candidate_like,9,1,0.1111111111111111
p_primary_depth_snr,false_positive_eb_or_variable,85,85,1.0
p_primary_depth_snr,reject_as_noise_or_artifact,174,174,1.0
p_duration_days,candidate_like,9,0,0.0
p_duration_days,false_positive_eb_or_variable,85,85,1.0
p_duration_days,reject_as_noise_or_artifact,174,174,1.0
p_odd_depth_median,candidate_like,9,0,0.0
p_odd_depth_median,false_positive_eb_or_variable,85,85,1.0
p_odd_depth_median,reject_as_noise_or_artifact,174,174,1.0
p_even_depth_median,candidate_like,9,0,0.0
p_even_depth_median,false_positive_eb_or_variable,85,85,1.0
p_even_depth_median,reject_as_noise_or_artifact,174,174,1.0
p_odd_even_depth_ratio,candidate_like,9,0,0.0
p_odd_even_depth_ratio,false_positive_eb_or_variable,85,85,1.0
p_odd_even_depth_ratio,reject_as_noise_or_artifact,174,174,1.0
p_oot_to_depth,candidate_like,9,4,0.4444444444444444
p_oot_to_depth,false_positive_eb_or_variable,85,85,1.0
p_oot_to_depth,reject_as_noise_or_artifact,174,174,1.0
p_secondary_depth,candidate_like,9,0,0.0
p_secondary_depth,false_positive_eb_or_variable,85,85,1.0
p_secondary_depth,reject_as_noise_or_artifact,174,174,1.0
p_secondary_depth_snr,candidate_like,9,1,0.1111111111111111
p_secondary_depth_snr,false_positive_eb_or_variable,85,85,1.0
p_secondary_depth_snr,reject_as_noise_or_artifact,174,174,1.0
p_secondary_to_primary_depth_ratio,candidate_like,9,4,0.4444444444444444
p_secondary_to_primary_depth_ratio,false_positive_eb_or_variable,85,85,1.0
